index	page	text
4539-4539	6	p^ 
4961-4994	7	^^qUA^     f «^ /si""'   / 
5053-5053	8	VOORWOORD. 
7162-7167	9	IV VOORWOORD. 
10178-10178	10	VOORWOORD. 
12373-12378	11	VI VOORWOORD. 
15571-15584	12	Voorwoord. vii 
18594-18600	13	vul VOOltWOORO 
19835-19854	14	September Anno 1640. 
23041-23050	15	2 10 SEPTEMBER. 
27128-27146	16	10 SEPTEMBER. 5 
31498-31507	17	4 10 SEPTEMBER. 
35671-35689	18	10 SEPTEMBER. tf 
39985-40004	19	6 10 EN 11 SEPTEMBER. 
44163-44183	20	11   SEPTEMBER. 7 
48769-48779	21	8 11  SEPTEMBER. 
53258-53277	22	11  SEPTEMBER. 9 
57808-57820	23	10 n-18 SEPTEMBER. 
62033-62056	24	18-21   SEPTEMBER. 11 
66474-66484	25	12 21 SEPTEMBER. 
70854-70875	26	21—25 SEPTEMBER. 15 
74779-74789	27	14 25 SEPTEMBER. 
79173-79191	28	25 SEPTEMBER. Ig 
83667-83679	29	16 25   SEPTEMBER. 
88108-88129	30	24—27 SEPTEMBER. 17 
92532-92542	31	16 27 SEPTEMBER. 
96365-96383	32	27 SEPTEMBER, 19 
100856-100868	33	•iO 27  SEPTEMBER. 
105346-105364	34	27 SEPTEMBER. 21 
110015-110025	35	22 27 SEPTEMBER. 
114638-114656	36	27 SEPTEMBER. 23 
119044-119054	37	24 27 SEPTEMBER, 
123159-123177	38	27 SEPTEMBER. 28 
127381-127391	39	86 27 SEPTEMBER 
131467-131485	40	27 SEPTEMBER. 27 
136039-136049	41	28 27 SEPTEMBER. 
140338-140357	42	2? SEPTEMBEfi. 29 
144633-144648	43	so 27 SEPTEMBER. 
147746-147765	44	Jjt SEPTEMBER. 51 
151968-151979	45	32 .2? SEPTEMBER. 
156481-156498	46	2? SEPTEMBEi ^5 
161040-161050	47	34 27 SEPTEMBER. 
164999-165028	48	27  EN 28 SEPTEMBER. 35 
169459-169469	49	36 28 SEPTEMBER. 
173797-173815	50	28 SEPTEMBER. 37 
178357-178367	51	58 28 SEPTEMBER. 
182825-182850	52	28  SEPTEMBER. ^   39 
187120-187130	53	40 28 SEPTEMBER. 
191510-191530	54	2S   SEPTEMBER. 41 
196044-196054	55	42 28 SEPTEMBER. 
200608-200626	56	28 SEPTEMBER. 45 
205106-205116	57	44 30 SEPTEMBER. 
205833-205850	58	October Anno 1640. 
208876-208887	59	46 4—9 OCTOBËR. 
212703-212718	60	d OCTOBER. 47 
217132-217143	61	48 9   OCTOBER. 
221714-221729	62	d OGTOBÉR. 4è 
226236-226245	63	80 ö OCTOBER. 
230630-230646	64	9 OCTOBEft. il 
235279-235289	65	tfi 9 OCTOBER. 
239842-239857	66	9 OCTOBER. JJ5 
244212-244222	67	)(4 9 OGTOBBR. 
248628-248646	68	9^12 OCTOBER. «5 
252666-252679	69	K6 13—19 OGTOBER. 
256504-256523	70	19—22 OCTOBER. 87 
260302-260312	71	58 22 OCTOBER. 
264602-264618	72	22 OCTOBER. S9 
269072-269092	73	60 22 EN 23 OCTOBER. 
273318-273337	74	23—28 OCTOBER. 6l 
277510-277525	75	6i 2B--31  OGTOBBR. 
280858-280876	76	November Anno 1640. 
283809-283820	77	64 4-7 NOVEMBER. 
288063-288083	78	10-i4 NOVEMBER. ÖB 
292154-292164	79	6é 1^ NOVEMBER. 
296428-296448	80	i4~16 NOVEMBER. 6^ 
300296-300309	81	éè 1^18  NOVEMBER. 
304282-304299	82	18 NOVEMBER. 69 
308478-308488	83	70 IB NOVEMBER. 
312292-312312	84	18-20 NOVEMBER. 71 
315972-315983	85	72 21  NOVEMBER. 
320314-320332	86	21  NOVEMBER. 75 
324820-324831	87	74 21  NOVEMBER. 
329043-329061	88	21  NOVEMBER. 78 
333561-333572	89	76 21  NOVEMBER. 
337979-337997	90	2i  NOVEMBER. ^^ 
342604-342615	91	^8 21  NOVEMBER. 
346847-346872	92	21  NOVEMBER. ^    ^9 
351027-351038	93	8Ó 2i  NOVEMBER. 
355540-355559	94	21  NOVEMBElk. 81 
360081-360091	95	8i 21 NOVEMBER. 
364598-364616	96	21  NOVEMBER. gj 
368620-368631	97	84 21  NOVEMBER. 
373037-373055	98	21  NOVEMBER. 85 
377277-377290	99	86 21—27 NOVEMBER. 
380834-380851	100	27 NOVEMBER. 87 
385202-385212	101	88 27 NOVEMBER. 
389393-389414	102	27 NOVEMBER. . 89 
393975-393985	103	90 27 NOVEMBER. 
398408-398425	104	27 NOVEMBER. W 
402365-402381	105	92   . 27 NOVEMBER. 
406728-406746	106	27 NOVEMBEft. 9S 
410930-410940	107	04 27 NOVEMBER. 
415339-415356	108	27 NOVEMBER. 9U 
419657-419667	109	96 27 NOVEMBER. 
424098-424115	110	2^ NOVEMBEn. 97 
428290-428300	111	98 27 NOVEMBER. 
432945-432962	112	27 NOVEMBEn. 99 
437530-437541	113	iOO 27 NOVEMBER. 
442154-442171	114	27 NOVEMBER. 101 
446606-446621	115	102 27—29  NOVEMBER. 
450798-450815	116	29 NOVEMPER. 103 
455032-455049	117	104 '   29 NOVEMBER. 
459532-459549	118	29 NOVEMBER. 108 
461030-461048	119	December Anno 1640. 
463437-463462	120	2 EN 3 DECEMBER. 107 
466606-466616	121	108 3 DECEMBER. 
471075-471093	122	3—5 DECEMBER. 109 
475339-475361	123	Ho 5   EN 6   DECEMBER. 
479675-479692	124	6 bËCÉMBËli. UI 
483577-483587	125	il2 6 DECEMBER. 
487386-487402	126	6 DECEMBER. 113 
491754-491764	127	114 6 DECEMBER. 
496345-496362	128	6  DECEMBER. ll^ 
500852-500863	129	116 6  DECEMBER. 
505339-505356	130	6  DECEMBER. 117 
509868-509878	131	118 6 DECEMBER. 
514460-514476	132	6 DECEMBER. 119 
518255-518269	133	120 6—ö DECEMBER. 
522422-522442	134	8—11  DECEMBER. 121 
526072-526083	135	122 11 DECEMBER. 
530502-530522	136	11—15 DECEMBER. 155 
534249-534267	137	124 15—21   DECEMBER. 
538003-538021	138	21  DFCEMBER. 128 
541901-541912	139	126 21 DECEMBER. 
546286-546303	140	21 DECEMBER. 127 
550517-550529	141	128 21  DECEMBER. 
554997-555018	142	21-^24 DECEMBER. 129 
558703-558717	143	130 24-31 DÉCEltBEtt. 
562591-562610	144	31  DECEMBEft. 131 
566508-566520	145	132 31  DECEMBER. 
571012-571030	146	31  DECEMBER. 153 
575537-575549	147	134 31  DECEMBER. 
579999-580017	148	31  DECEMBER. 15» 
584682-584693	149	156 31 DECEMBER. 
589271-589289	150	31  DECEMBER. 157 
593776-593787	151	138 31 DECEMBER 
598362-598380	152	31  DECEMBER. 139 
602396-602408	153	140 31  DECEMBER. 
606784-606802	154	31  DECEMBER. 141 
611010-611022	155	I4i 31  DECEMBER. 
614050-614069	156	31  DEGEMBEft. 14S 
618372-618383	157	144 31 DECEMBER. 
622810-622827	158	31 DECEMBER. 14ti 
626294-626294	159	146 
629401-629420	160	31   DECEMBER. 147 
633496-633507	161	148 31 DfiCEMBEd. 
637920-637938	162	31  DECEMBER. I49 
642041-642053	163	150 31  DECEMBER. 
646274-646292	164	31  DECEMBER. 151 
650416-650428	165	152 31  DECEMBER. 
654654-654672	166	31  DECEMBER. 1K3 
659162-659174	167	1S4 31  DECEMBER. 
663474-663491	168	31 DECEMBER. 1B5 
667817-667829	169	156 31  DECEMBER. 
672364-672383	170	31   DECEMBER. IK? 
676951-676963	171	1B8 31  DECEMBER. 
681447-681465	172	31  DECEMBER. 159 
683978-683997	173	Januarlus Anno 1641. 
686588-686609	174	9—15  JANÜARIÜS. 161 
690487-690502	175	iéi , 15 JANUARIUS. 
694848-694866	176	15 JANUARIUS. 163 
699415-699426	177	i64 15 JANUARtUS. 
703888-703909	178	15-21 JANUARIUS. 16» 
708220-708240	179	166 21 — 23 JANÜARIUS. 
712340-712367	180	23 — 24 JANUARIÜS. 167 
716719-716730	181	168 24 JANÜARIÜS. 
