gram	#words	#occurrences	example1	example2	example3
├end	22	7738	ende	endé	endc
├van┤	1	5781	van
├ver	850	4460	versocht	verovert	verbleven
├met┤	1	3871	met
├den┤	1	3425	den
├voo	209	3390	voor	voorstadt	voorspoedige
├een┤	1	3031	een
├dat┤	1	2368	dat
├dae	87	2279	daer	daet	daerenboven
├nie	28	1826	niet	nieuwe	niettegenstaende
├syn┤	1	1813	syn
├gel	161	1659	gelegentheyt	geladen	gelandt
├ges	252	1638	gesanten	geschieden	gescheyden
├had	11	1633	hadden	hadde	haddet
├als┤	1	1627	als
├van	33	1572	vande	vanden	van't
├sch	262	1572	schatten	schicken	schrift
├was┤	1	1552	was
├con	178	1521	contentement	contrarie	concpiesten
├sou	34	1514	soude	souden	sout
├aen	231	1506	aengenomen	aengetogen	aende
├nae┤	1	1432	nae
├tot┤	1	1304	tot
├mae	43	1258	maer	maent	maen
├die┤	1	1258	die
├een	49	1197	eenige	eenmael	eenen
├mee	52	1146	meerdere	meesters	meer
├des	74	1145	deser	despecheren	dese
├het┤	1	1137	het
├aen┤	1	1136	aen
├wae	70	1124	waer	waeromme	waerdye
├com	98	1107	combineren	compsle	comptoirs
├soo┤	1	1097	soo
├and	17	1071	ander	andere	anderen
├nae	75	1016	naer	naergelaten	naede
├gem	75	990	gemaeckte	gemelte	gemandt
├ove	160	961	over	overleden	overvloet
├heb	12	878	hebben	hebbende	hebt
├wer	31	858	werden	wercken	werck
├doo	63	851	door	dooden	doorgaens
├all	38	847	alleen	alles	alle
├cle	52	821	cleyn	cleynoilien	cleyne
├ond	100	808	onder	ondertusschen	ondervraecht
├ooc	4	776	oock	ooch	oochmerck
├vol	58	770	volgende	voldoeningh	volladen
├syn	18	750	syner	syne	synde
├gew	86	740	geworpen	geweest	geworden
├gro	46	737	groeten	groolen	grooten
├war	12	733	waren	ware	wareq
├Con	41	732	Conincx	Coninck	Coningh
├gee	32	732	geen	geeft	geenen
├uyt┤	1	723	uyt
├rea	13	720	realen	reacl	reael
├gev	97	693	gevolge	gevonden	gevent
├ald	20	684	aldaer	alderhande	aldien
├lan	80	682	landen	landt	lande
├ons	20	681	onse	onser	onstuymigh
├goe	43	677	goet	goederen	goede
├ont	133	674	ontrouw	ontfangen	onthoudende
├ger	163	643	gereduceerl	geraken	gereddet
├hun┤	1	636	hun
├sul	17	630	sulcx	sullen	sult
├noc	9	613	nochte	noch	nochtans
├gen	83	611	genegotieert	genegen	genoechsame
├oft	2	610	ofte	oftó
├die	65	609	dient	dieffelyck	dienl
├gec	111	607	geconcipieerde	gecapleerl	gecregen
├man┤	1	605	man
├geb	125	597	gebruyckcn	gebracht	gebelh
├doe	21	572	doen	doeken	doet
├uyt	158	570	uytierste	uytval	uytvercoren
├hee	24	564	heeft	heer	heete
├Com	21	563	Commissaris	Comp	Composlel
├bes	167	556	besils	bestaende	beseltinge
├mit	7	552	mitsgaders	mits	mitsdien
├sel	27	551	selver	selven	selveals
├der┤	1	541	der
├ged	132	540	gediscoureert	gedane	gedeelte
├wel┤	1	531	wel
├ind	27	523	inde	inden	inder
├see	19	514	seer	seecker	seeckeren
├doc	11	508	doch	docb	dochsynEd
├wee	40	507	weet	weerden	weeten
├coo	32	502	coopmanschappen	coopen	coopere
├ten┤	1	501	ten
├jac	12	498	jacht	jachtden	jachten
├hae	23	496	haer	haere	haest
├als	22	492	alsoo	alsdan	alsdoen
├dat	23	490	dato	datse	dat<e
├qua	42	475	quamen	qualyck	quaet
├rys┤	1	474	rys
├gou	39	466	goudt	goude	gouverno
├sta	48	458	stant	staét	staat
├soo	38	449	soodanigen	soorten	soods^t
├wie	20	447	wierl	wierden	wiert
├par	44	445	partye	parthye	pardonneren
├Jap	16	436	Japans	Japara	Japan
├des┤	1	432	des
├toe	112	418	toegeseyt	toegesonden	toegevallen
├hem┤	1	416	hem
├vee	23	415	veel	veele	veerdende
├wel	44	415	welck	welcke	welcken
├Ban	45	414	Bangry	Bandanesen	Bantam
├Mal	42	411	Malacca	Malaccas	Maleyer
├jon	33	408	jonek	jonghsten	jonck
├las	16	402	lasten	last	laslen
├wed	29	398	weder	wederom	wederschryven
├int┤	1	382	int
├bec	36	378	becomen	becrompen	becomene
├geh	44	375	gehoorsaemheyl	gehouden	gehruycken
├ick┤	1	375	ick
├sal┤	1	366	sal
├vae	43	361	vaertuyghen	vaertuygen	vaerluygen
├bri	30	360	brieven	brieff	brieffden
├wes	19	353	wesen	weshalven	wesende
├dag	19	348	dagh	dagelycx	dagende
├pla	37	347	plaels	plaetse	plaetsen
├hoo	81	346	hoogh	hooghslen	hoorden
├Por	23	344	Portugiesen	Portugees	Portugiese
├der	40	344	derrewaerts	derhalven	dermawan
├Gou	17	337	Gouverneurs	Gouverneur	Gouvernement
├wil	15	334	willen	wilden	wilde
├wor	9	332	worden	wordende	wort
├tin	17	331	tingangh	tinganghs	tinghangh
├had┤	1	327	had
├Chi	34	321	Chillebhaer	Chineese	Chinese
├Gen	12	320	Generael	Generaels	Generad
├ter┤	1	317	ter
├han	28	315	handt	handen	handel
├May┤	1	314	May
├wey	15	311	weygeringh	weynigh	weynighe
├son	25	307	sonder	sone	sont
├pre	62	304	presteren	preminenlien	prerogaliven
├eer	40	302	eerbiedigh	eerst	eerlyck
├bel	80	302	belooflde	beleydinge	belalen
├tyt┤	1	300	tyt
├Den┤	1	294	Den
├per	52	293	persoon	periculeusen	persoonen
├res	58	293	residenten	resterende	resolutie
├moc	12	292	mochten	mochte	mocht
├ste	50	290	steecken	sterck	sterven
├aff	128	287	affcortinge	affscheyt	affcompste
├jeg	15	284	jegenwoordigh	jegenwoordigen	jegens
├arr	29	281	arriveren	arrière	arriveert
├moe	42	281	moesten	moeten	moede
├cor	58	279	corlelyck	cort	cortelyck
├get	69	273	gethoont	getreden	getracht
├den	23	268	denckt	denselven	denselve
├bet	42	266	bethoont	betrachten	betalingh
├beh	62	262	behoorlyck	behoorlycke	behalven
├sto	40	262	stonden	stortregenen	stormwind
├pep	5	257	peper	peperhandel	peperladingh
├oor	40	254	oorloge	oorlogh	oorsaecke
├flu	20	252	fluytschip	fluyt	fluyten
├bin	9	252	binnen	binnenwaert	binders
├pic	7	251	picols	picol	picipl
├ree	30	250	reede	reedelyck	reeden
├gea	78	249	geaffligeert	gearriveert	geantwoort
├hie	14	248	hier	hielt	hielden
├vre	47	248	vreese	vreede	vredelyck
├jae	18	248	jaerlycx	jaer	jaeren
├med	17	246	mede	medalien	medegebracht
├wan	24	244	wantrouwige	want	wanneer
├stu	24	244	stucken	stuckjens	stucx
├Mac	45	244	Macota	Maccasserse	Maccassarse
├teg	27	242	tegen	tegens	tegenspreecken
├sol	28	240	solpher	soldaten	solda
├bed	64	240	bedenckelyck	bedenckelyk	bedencken
├bre	21	239	brenght	brengen	breecken
├beg	57	238	begeert	begeven	begraven
├weg	18	238	wegen	wegens	wege
├vya	19	233	vyanden	vyant	vyandt
├ons┤	1	233	ons
├wat┤	1	232	wat
├twe	10	230	tweede	twee	tweeden
├cas	32	227	casuaris-vogel	casse	casteelen
├mac	14	225	macht	machtigh	mach
├adv	29	224	adviseert	advance	advys
├Bat	22	224	Batavia	Battachina	Batacaloa
├ong	92	221	ongeveer	ongetwyffelt	ongevallen
├har	28	218	hare	haren	harde
├bev	54	218	bevonden	bevreedingh	bevroeden
├swa	34	218	swaeren	swarte	swarten
├pro	73	216	protecteeren	probeeren	proponeren
├eyn	12	216	eynde	eyntelyck	eyndelyck
├sen	13	216	sendende	senden	sengagies
├hou	16	213	hout	houders	houden
├dan┤	1	210	dan
├Eng	11	209	Engelschen	Engelandt	Engels
├ing	53	208	ingecocht	ingenieurs	ingeval
├gep	73	207	geprepareerde	geproccureert	gepleecht
├sla	45	207	slaet	sladt	slaven
├omm	10	207	omme	ommewegen	ommeslagh
├cop	16	206	coppen	copere	coper
├voe	20	206	voeren	voegen	voegende
├vru	23	204	vrunischap	vruntschap	vruchten
├gan	31	204	gantsch	gantsche	gantse
├lae	30	200	laetste	laete	laet
├her	37	196	herrewaerts	herrewaerls	hervatten
├sie	22	195	sieckten	sieck	sien
├bly	19	194	blyft	blyvende	blyckelyck
├ord	15	193	ordre	ordinarie	ordonneren
├hun	9	189	hunner	hunne	hunlieder
├off┤	1	188	off
├hoe┤	1	188	hoe
├bov	10	188	boven	bovendien	bovenstaende
├het	20	188	hetgeen	hetselve	hetwelck
├opp	21	187	oppasten	oppercoopman	opperhooft
├str	42	186	strant	straffeH	straffen
├neg	31	183	negolie	negen	negotijsren
├mog	9	183	mogelyck	moght	mogen
├duy	19	182	duysent	duystere	duyren
├cat	23	182	catagorisch	cattoenen	catty
├ble	17	181	bleeiï	bleelf	bleeff
├pac	15	180	packen	packhuysen	pachter
├buy	20	178	buyten	buytenste	buyck
├car	33	178	cargasoen	cargasoentje	cartouwen
├oph	8	176	ophouden	ophebbende	ophanght
├leg	14	174	legatie	leger	legerplaets
├man	46	173	mandamenlen	manieren	mannen
├mis	44	170	misnoegende	mishaeght	mistrouwen
├noo	50	170	noodige	noortzyde	noortsterre
├geg	18	168	gegroet	gegagieerde	gegeven
├Pal	32	168	Palimbangh	Palembangh	Palimbangb
├ach	41	166	achtinge	achterlatende	achte
├suy	20	166	suyver	suycker	suyckeren
├nev	4	166	nevens	neve\fs	nevensgaende
├eyl	10	164	eylanden	eylant	eylants
├stx┤	1	164	stx
├red	18	159	reden	redresseren	redenen
├hoe	24	158	hoeffiens	hoeven	hoewel
├jar	4	156	jare	jaren	jarigen
├toe┤	1	155	toe
├Hol	18	154	Hollanders	Hollandia	Hollants
├tyd	13	152	tydingh	tydelyck	tyde
├pry	4	152	prys	pryse	prysen
├huy	26	150	huyshouden	huysvrouwe	huysen
├Atc	18	148	Atchin	Atchinse	Atchins
├Cap	23	148	Capiteyn	Capt	Capitein
├etc┤	1	148	etc
├boo	30	147	bootjen	boomen	boontjens
├nac	11	147	nacht	nachts	nacr
├can	29	147	canonschoot	canon	cant
├men┤	1	147	men
├opg	72	146	opgehouden	opgenomen	opgesonden
├sic	4	146	sich	sicli	sicht
├seg	15	145	seggen	seggende	segge
├ryc	23	141	rycke	rycxdaelder	ryck
├Joh	15	138	Johor	Johoriten	Johorit
├ins	40	138	instructie	insgelycx	insichte
├som	14	138	somme	somtyts	somma
├mid	15	137	middel	middach	midtsgaders
├mos	5	136	mosle	moste	most
├lev	16	134	leveren	leven	levert
├gei	30	134	geit	geinsisteert	gei)asseerde
├bha	9	133	bhaer	bharen	bhaeren
├myn┤	1	133	myn
├oud	16	132	oudt	ouden	oude
├ber	60	132	beraetslaeght	beroovinghe	berrewaerts
├ant	7	131	antwoort	antwoordende	antwoorden
├Jav	11	131	Javaense	Javanen	Javaen
├ech	2	130	echter	echler
├pra	32	130	practycquen	prauw	prauwen
├gae	11	128	gaen	gaerne	gaende
├Gon	18	128	Goninck	Gonincx	Gonimcx
├pri	20	127	princen	principalen	prince
├Ind	19	127	Indrapoura	India	Indische
├yde	5	127	yder	ydele	yders
├pan	26	127	pannen	pangayen	pangeran
├lat	5	126	laten	latende	later
├sae	8	125	saecke	saecken	saeke
├cap	27	124	capileyn	capiteyn	capitalen
├God	8	124	Gode	Godt	Godts
├lic	20	123	licht	lichten	lichtelyck
├Gal	20	123	Galissa	Gale	Galladulla
├syd	7	123	syde	syde-v]in	syden
├lie	28	122	liever	lieden	lietje
├gil	17	120	giljou	gilaloe	giljoutje
