«cc├gr┤	freqContext	freqGram
« e├en┤	4228	71724
« d├en┤	3693	71724
«er├en┤	3384	71724
«n ├en┤	2938	71724
«nd├en┤	2850	71724
« a├en┤	2641	71724
«ck├en┤	2365	71724
«om├en┤	1586	71724
«rd├en┤	1551	71724
«eg├en┤	1503	71724
«ed├en┤	1487	71724
«t ├en┤	1474	71724
«es├en┤	1446	71724
«st├en┤	1089	71724
«ev├en┤	1077	71724
«ud├en┤	982	71724
«dd├en┤	951	71724
«ng├en┤	947	71724
«ar├en┤	933	71724
«bb├en┤	906	71724
«nn├en┤	897	71724
«al├en┤	888	71724
«ll├en┤	831	71724
«di├en┤	740	71724
«ht├en┤	711	71724
«e ├en┤	702	71724
«ge├en┤	677	71724
«et├en┤	626	71724
«el├en┤	618	71724
« g├en┤	613	71724
«en├en┤	612	71724
«s ├en┤	612	71724
«do├en┤	611	71724
«ad├en┤	574	71724
«ag├en┤	572	71724
«em├en┤	555	71724
«yd├en┤	545	71724
«at├en┤	526	71724
« t├en┤	514	71724
«ta├en┤	513	71724
«nt├en┤	464	71724
«, ├en┤	445	71724
«r ├en┤	444	71724
«pp├en┤	438	71724
«ch├en┤	433	71724
«lg├en┤	430	71724
«si├en┤	430	71724
«am├en┤	406	71724
«ep├en┤	363	71724
«tr├en┤	347	71724
«yv├en┤	329	71724
«ys├en┤	322	71724
« G├en┤	320	71724
«ig├en┤	317	71724
«op├en┤	313	71724
« D├en┤	309	71724
«yg├en┤	300	71724
«uw├en┤	289	71724
«da├en┤	288	71724
«lv├en┤	288	71724
«; ├en┤	286	71724
«og├en┤	284	71724
«yt├en┤	282	71724
«ga├en┤	278	71724
«ot├en┤	276	71724
«ss├en┤	270	71724
«ov├en┤	268	71724
«a ├en┤	267	71724
«yn├en┤	266	71724
«ld├en┤	262	71724
«ma├en┤	260	71724
«tt├en┤	252	71724
«h ├en┤	251	71724
«so├en┤	251	71724
«gg├en┤	234	71724
«or├en┤	222	71724
«br├en┤	219	71724
« s├en┤	217	71724
« m├en┤	209	71724
«me├en┤	203	71724
«ak├en┤	198	71724
«ek├en┤	194	71724
«id├en┤	190	71724
«av├en┤	178	71724
«k ├en┤	177	71724
«on├en┤	175	71724
«od├en┤	174	71724
«ff├en┤	171	71724
«le├en┤	169	71724
«ts├en┤	161	71724
«l ├en┤	159	71724
«an├en┤	150	71724
« b├en┤	146	71724
«rt├en┤	137	71724
«ti├en┤	130	71724
«yl├en┤	123	71724
«rg├en┤	117	71724
«he├en┤	110	71724
«ns├en┤	103	71724
«rp├en┤	101	71724
«yr├en┤	98	71724
«ra├en┤	95	71724
«o ├en┤	93	71724
«ls├en┤	92	71724
«m ├en┤	86	71724
«pa├en┤	83	71724
«te├en┤	82	71724
«fd├en┤	80	71724
«ia├en┤	78	71724
« h├en┤	76	71724
«ho├en┤	73	71724
«lp├en┤	73	71724
« B├en┤	72	71724
« k├en┤	72	71724
«ry├en┤	71	71724
«tj├en┤	71	71724
«ur├en┤	71	71724
