«cc├gra┤	freqContext	freqGram
« d├en ┤	3422	39194
« e├en ┤	3021	39194
«nd├en ┤	2298	39194
«er├en ┤	1948	39194
«ck├en ┤	1481	39194
« a├en ┤	1115	39194
«ed├en ┤	1007	39194
«es├en ┤	928	39194
«om├en ┤	891	39194
«rd├en ┤	807	39194
«al├en ┤	803	39194
«nn├en ┤	791	39194
«st├en ┤	779	39194
«ud├en ┤	749	39194
«dd├en ┤	716	39194
«eg├en ┤	600	39194
«ar├en ┤	588	39194
«ev├en ┤	568	39194
«ll├en ┤	551	39194
«ht├en ┤	545	39194
«ad├en ┤	528	39194
« t├en ┤	497	39194
«ge├en ┤	491	39194
«ng├en ┤	489	39194
«en├en ┤	446	39194
«et├en ┤	410	39194
«yd├en ┤	405	39194
«el├en ┤	367	39194
«at├en ┤	362	39194
«ag├en ┤	352	39194
«di├en ┤	344	39194
«do├en ┤	341	39194
« D├en ┤	293	39194
«ep├en ┤	284	39194
«nt├en ┤	281	39194
«pp├en ┤	281	39194
«bb├en ┤	279	39194
«si├en ┤	276	39194
«lv├en ┤	275	39194
«ig├en ┤	258	39194
«og├en ┤	232	39194
«am├en ┤	228	39194
«ot├en ┤	228	39194
«yt├en ┤	224	39194
«ov├en ┤	212	39194
«ch├en ┤	206	39194
«yg├en ┤	203	39194
«uw├en ┤	190	39194
«yn├en ┤	190	39194
«yv├en ┤	185	39194
«da├en ┤	183	39194
«ld├en ┤	173	39194
«so├en ┤	170	39194
«t ├en ┤	169	39194
«ta├en ┤	164	39194
«ss├en ┤	162	39194
«or├en ┤	152	39194
« m├en ┤	144	39194
«tt├en ┤	143	39194
«od├en ┤	137	39194
«ts├en ┤	136	39194
«op├en ┤	134	39194
«em├en ┤	130	39194
«n ├en ┤	116	39194
«an├en ┤	115	39194
«ak├en ┤	113	39194
«ys├en ┤	113	39194
«ti├en ┤	109	39194
«r ├en ┤	108	39194
«av├en ┤	105	39194
«on├en ┤	105	39194
«le├en ┤	102	39194
«rt├en ┤	96	39194
«yl├en ┤	85	39194
«ls├en ┤	84	39194
«ns├en ┤	84	39194
«ga├en ┤	82	39194
«gg├en ┤	79	39194
«ra├en ┤	67	39194
«fd├en ┤	66	39194
«rp├en ┤	65	39194
«e ├en ┤	62	39194
«ry├en ┤	62	39194
«h ├en ┤	57	39194
«rr├en ┤	57	39194
«yr├en ┤	54	39194
«, ├en ┤	52	39194
«rv├en ┤	52	39194
« h├en ┤	51	39194
«ek├en ┤	49	39194
«lt├en ┤	49	39194
«ol├en ┤	46	39194
«mm├en ┤	45	39194
«ct├en ┤	44	39194
« b├en ┤	43	39194
«s ├en ┤	43	39194
«lp├en ┤	40	39194
«ur├en ┤	39	39194
« T├en ┤	38	39194
«ff├en ┤	38	39194
«os├en ┤	38	39194
«ft├en ┤	37	39194
«ia├en ┤	37	39194
«ay├en ┤	34	39194
«he├en ┤	34	39194
«k ├en ┤	34	39194
«rs├en ┤	34	39194
«it├en ┤	31	39194
«lg├en ┤	31	39194
«ey├en ┤	27	39194
«rg├en ┤	27	39194
«ut├en ┤	27	39194
«kt├en ┤	26	39194
«ir├en ┤	25	39194
«o ├en ┤	25	39194
«te├en ┤	25	39194
«fk├en ┤	24	39194
«ma├en ┤	24	39194
«hd├en ┤	22	39194
«up├en ┤	22	39194
«a ├en ┤	21	39194
«pt├en ┤	21	39194
«rm├en ┤	20	39194
«as├en ┤	19	39194
«ri├en ┤	19	39194
«sl├en ┤	19	39194
«ug├en ┤	19	39194
«ha├en ┤	18	39194
«mp├en ┤	18	39194
«gi├en ┤	17	39194
«tj├en ┤	17	39194
«us├en ┤	17	39194
«il├en ┤	16	39194
«iv├en ┤	16	39194
«la├en ┤	16	39194
«is├en ┤	15	39194
«Ma├en ┤	14	39194
«li├en ┤	14	39194
«md├en ┤	14	39194
«io├en ┤	13	39194
«qu├en ┤	13	39194
«y ├en ┤	13	39194
« E├en ┤	12	39194
«me├en ┤	12	39194
«bt├en ┤	11	39194
«ro├en ┤	11	39194
«ul├en ┤	11	39194
«va├en ┤	11	39194
«hi├en ┤	10	39194
«hy├en ┤	10	39194
«in├en ┤	10	39194
«kk├en ┤	10	39194
«pk├en ┤	10	39194
«to├en ┤	10	39194
«ap├en ┤	9	39194
«ei├en ┤	9	39194
«m ├en ┤	9	39194
«nc├en ┤	9	39194
«ni├en ┤	9	39194
«rl├en ┤	9	39194
«wa├en ┤	9	39194
«be├en ┤	8	39194
«gh├en ┤	8	39194
«hl├en ┤	8	39194
«l ├en ┤	8	39194
«ok├en ┤	8	39194
«ph├en ┤	8	39194
«rk├en ┤	7	39194
«ym├en ┤	7	39194
«yp├en ┤	7	39194
«cb├en ┤	6	39194
«cr├en ┤	6	39194
«j ├en ┤	6	39194
«nl├en ┤	6	39194
«re├en ┤	6	39194
«sk├en ┤	6	39194
«tl├en ┤	6	39194
«wi├en ┤	6	39194
« A├en ┤	5	39194
«(t├en ┤	5	39194
«; ├en ┤	5	39194
«Ca├en ┤	5	39194
«ic├en ┤	5	39194
«id├en ┤	5	39194
«kj├en ┤	5	39194
«ks├en ┤	5	39194
«lk├en ┤	5	39194
«ne├en ┤	5	39194
«p ├en ┤	5	39194
«rn├en ┤	5	39194
«sz├en ┤	5	39194
«ty├en ┤	5	39194
«(a├en ┤	4	39194
«. ├en ┤	4	39194
«^d├en ┤	4	39194
«cs├en ┤	4	39194
«ez├en ┤	4	39194
«lm├en ┤	4	39194
«oU├en ┤	4	39194
«sj├en ┤	4	39194
«sy├en ┤	4	39194
«xk├en ┤	4	39194
«ye├en ┤	4	39194
«(d├en ┤	3	39194
«Uw├en ┤	3	39194
«^r├en ┤	3	39194
«b ├en ┤	3	39194
«ci├en ┤	3	39194
«f ├en ┤	3	39194
«fl├en ┤	3	39194
«if├en ┤	3	39194
«nk├en ┤	3	39194
«nu├en ┤	3	39194
«oy├en ┤	3	39194
«sd├en ┤	3	39194
«uU├en ┤	3	39194
«uv├en ┤	3	39194
«uy├en ┤	3	39194
« B├en ┤	2	39194
« g├en ┤	2	39194
« l├en ┤	2	39194
« «├en ┤	2	39194
« é├en ┤	2	39194
«" ├en ┤	2	39194
«*e├en ┤	2	39194
«27├en ┤	2	39194
«Ga├en ┤	2	39194
«Ge├en ┤	2	39194
«Ij├en ┤	2	39194
«Sd├en ┤	2	39194
«^ ├en ┤	2	39194
«bd├en ┤	2	39194
«cl├en ┤	2	39194
«d ├en ┤	2	39194
«dv├en ┤	2	39194
«eb├en ┤	2	39194
«eh├en ┤	2	39194
«g^├en ┤	2	39194
«hp├en ┤	2	39194
«ii├en ┤	2	39194
«im├en ┤	2	39194
«ip├en ┤	2	39194
«lo├en ┤	2	39194
«mk├en ┤	2	39194
«of├en ┤	2	39194
«oi├en ┤	2	39194
«pd├en ┤	2	39194
«sa├en ┤	2	39194
«td├en ┤	2	39194
«tg├en ┤	2	39194
«tr├en ┤	2	39194
«u ├en ┤	2	39194
«v^├en ┤	2	39194
«w ├en ┤	2	39194
«wd├en ┤	2	39194
«xt├en ┤	2	39194
«yJ├en ┤	2	39194
«yi├en ┤	2	39194
«yk├en ┤	2	39194
«yu├en ┤	2	39194
«|)├en ┤	2	39194
«ér├en ┤	2	39194
«óm├en ┤	2	39194
« (├en ┤	1	39194
« M├en ┤	1	39194
« O├en ┤	1	39194
« ^├en ┤	1	39194
« j├en ┤	1	39194
« n├en ┤	1	39194
« o├en ┤	1	39194
« p├en ┤	1	39194
« s├en ┤	1	39194
« u├en ┤	1	39194
« è├en ┤	1	39194
«'d├en ┤	1	39194
«(e├en ┤	1	39194
«) ├en ┤	1	39194
«*d├en ┤	1	39194
«*s├en ┤	1	39194
«- ├en ┤	1	39194
«.d├en ┤	1	39194
«14├en ┤	1	39194
«2 ├en ┤	1	39194
«24├en ┤	1	39194
«5 ├en ┤	1	39194
«6 ├en ┤	1	39194
«9 ├en ┤	1	39194
«9s├en ┤	1	39194
«Am├en ┤	1	39194
«De├en ┤	1	39194
«Dg├en ┤	1	39194
«Do├en ┤	1	39194
«Dt├en ┤	1	39194
«Fd├en ┤	1	39194
«L ├en ┤	1	39194
«Mi├en ┤	1	39194
«Sk├en ┤	1	39194
