illegal	legal	similarity	code	explanation
aclitereenvolgende	achtereenvolgende	0.9	1	one close legal neighbour
vanRanjermassingh	Banjermassingh	0.8	1	one close legal neighbour
'coopmanschappen	coopmanschappen	1.0	1	one close legal neighbour
(representerende	gepresenteerde	0.8	1	one close legal neighbour
coopraanschappen	coopmanschappen	0.9	1	one close legal neighbour
coopüianschappen	coopmanschappen	0.9	1	one close legal neighbour
gede;ipositeerde	geadepositeerde	0.9	1	one close legal neighbour
schafiEschootels	schaffschotels	0.9	1	one close legal neighbour
(langhsamerhant	langhsamerhant	1.0	1	one close legal neighbour
Banjermassingse	Banjermassingh	0.9	1	one close legal neighbour
Choromandelscbe	Choromandelse	0.9	1	one close legal neighbour
aditergebleeven	achtergebleeven	0.9	1	one close legal neighbour
aepsienlyckbeyt	aensienelyckheyt	0.8	1	one close legal neighbour
coinmandeerende	commandeerende	0.9	1	one close legal neighbour
coopmanscbappcn	coopmanschappen	0.9	1	one close legal neighbour
coopmanscbappen	coopmanschappen	0.9	1	one close legal neighbour
coopmansehappen	coopmanschappen	0.9	1	one close legal neighbour
coopmnnschappen	coopmanschappen	0.9	1	one close legal neighbour
daeraenvolgeude	daeraenvolgende	0.9	1	one close legal neighbour
geqqalificeerde	gequalificeerde	0.9	1	one close legal neighbour
gereconcilieert	gereconvaliseert	0.8	1	one close legal neighbour
getransformeert	getransporteert	0.9	1	one close legal neighbour
i*aetspersoonen	raetspersoonen	0.9	1	one close legal neighbour
indireclelycken	directelycken	0.9	1	one close legal neighbour
indirectelycken	directelycken	0.9	1	one close legal neighbour
ouwaerdeerlycke	onwaerdeerlycke	0.9	1	one close legal neighbour
Bewinthebberen	bewinthebberen	0.9	1	one close legal neighbour
Hasulipatnamse	Masulipatnamse	0.9	1	one close legal neighbour
Tsickingodonne	Tsickingedonne	0.9	1	one close legal neighbour
accompagnieren	accompangieren	0.9	1	one close legal neighbour
c^pmanschappen	coopmanschappen	0.9	1	one close legal neighbour
conlrafeytsels	contrefeytsels	0.9	1	one close legal neighbour
contrafeytsels	contrefeytsels	0.9	1	one close legal neighbour
d*ambassadeurs	ambassadeurs	0.9	1	one close legal neighbour
deslrueeringbe	distrueeringe	0.8	1	one close legal neighbour
diamant-ringen	diamantringen	1.0	1	one close legal neighbour
g'authoriseert	geauthoriseert	0.9	1	one close legal neighbour
geabandonneert	gepardonneert	0.8	1	one close legal neighbour
gebesoigneerde	gedestineerde	0.8	1	one close legal neighbour
gedeboui*seert	gedeboucheert	0.8	1	one close legal neighbour
gedistribueert	gedistilleert	0.8	1	one close legal neighbour
gefortiflceert	gefortificeert	0.9	1	one close legal neighbour
gefrequenteert	getrequenteert	0.9	1	one close legal neighbour
gepalrocineert	gepardonneert	0.8	1	one close legal neighbour
geprefigeerden	gerenegeerden	0.8	1	one close legal neighbour
geproviandeert	geprovideert	0.9	1	one close legal neighbour
geremonstreerl	gedemonstreert	0.9	1	one close legal neighbour
geresconireert	gerescontreert	0.9	1	one close legal neighbour
geviclualieert	gevictualieert	0.9	1	one close legal neighbour
gevoeghlycxste	gevoeghlyckste	0.9	1	one close legal neighbour
gevoughlyckste	gevoeghlyckste	0.9	1	one close legal neighbour
gëremonstreert	gedemonstreert	0.9	1	one close legal neighbour
l>ootsgesellen	bootsgesellen	0.9	1	one close legal neighbour
onv^aerachtich	onwaerachtich	0.9	1	one close legal neighbour
scbafischotels	schaffschotels	0.9	1	one close legal neighbour
scheepsruympte	scheepsruymte	1.0	1	one close legal neighbour
souverainiteyt	souvereyniteyt	0.9	1	one close legal neighbour
trouweloosheyt	trouweloosen	0.8	1	one close legal neighbour
vei*sterckende	versteeckende	0.8	1	one close legal neighbour
vergeselschapl	vergeselschapt	0.9	1	one close legal neighbour
verordonneerde	geordonneerde	0.9	1	one close legal neighbour
voornamentlytk	voornamentlyck	0.9	1	one close legal neighbour
(insonderheyt	insonderheyt	1.0	1	one close legal neighbour
.vermerckende	vermerckende	1.0	1	one close legal neighbour
Coutcbinchina	Coutchinchina	0.9	1	one close legal neighbour
Coutchiuchina	Coutchinchina	0.9	1	one close legal neighbour
Loorluchtigen	Doorluchtige	0.9	1	one close legal neighbour
Visiapóui*sen	Visiapoursen	0.8	1	one close legal neighbour
abandonneeren	pardonneeren	0.8	1	one close legal neighbour
accompagneren	accompangieren	0.9	1	one close legal neighbour
aengesprooken	aengesproocken	1.0	1	one close legal neighbour
aeogenaemheyt	aengenaemheyt	0.9	1	one close legal neighbour
afigecloncken	affgelrocken	0.8	1	one close legal neighbour
avantagieuser	advantagieuse	0.9	1	one close legal neighbour
confirmeerden	affirmeerden	0.8	1	one close legal neighbour
d*ingesetenen	ingesetenen	0.9	1	one close legal neighbour
d*veroveringe	veroveringe	0.9	1	one close legal neighbour
danckseggioge	dancksegginge	0.9	1	one close legal neighbour
derreviraerts	dervraerts	0.9	1	one close legal neighbour
dienvolgendCi	dienvolgende	0.9	1	one close legal neighbour
dinhabitanten	inhabitanten	1.0	1	one close legal neighbour
embarcqaeerde	embarqueerde	0.9	1	one close legal neighbour
gebenificeert	gebeneficeert	0.9	1	one close legal neighbour
gefavoriseert	geauthoriseert	0.8	1	one close legal neighbour
geproflyteeit	geprofiteert	0.8	1	one close legal neighbour
gesoUiciteert	gesolliciteert	0.9	1	one close legal neighbour
geémbarqueert	gemancqueert	0.8	1	one close legal neighbour
gqpresenteert	gepresenteert	0.9	1	one close legal neighbour
insoriderbeyt	insonderheyt	0.8	1	one close legal neighbour
moelwilligers	moetwilligen	0.8	1	one close legal neighbour
moetvyrillens	moetwillens	0.8	1	one close legal neighbour
onbeantwoordt	beantwoordt	0.9	1	one close legal neighbour
onbeleeftheyt	ongelegentheyt	0.8	1	one close legal neighbour
onlbreeckende	ontbreecken	0.8	1	one close legal neighbour
onlramponeert	ontramponeert	0.9	1	one close legal neighbour
onordentelyck	ondoenelyck	0.8	1	one close legal neighbour
onsmaeckelyck	nootsaeckelyck	0.8	1	one close legal neighbour
oorloghsjacht	oorloghsmacht	0.9	1	one close legal neighbour
raaintimentos	maintimentos	0.9	1	one close legal neighbour
rycksdaelders	rycxdaelders	0.9	1	one close legal neighbour
scbeepsruymte	scheepsruymte	0.9	1	one close legal neighbour
schafschotels	schaffschotels	1.0	1	one close legal neighbour
scheepsniymte	scheepsruymte	0.8	1	one close legal neighbour
