word	legality
'T	100
's	100
't	100
A	100
Aaron	100
Ackersloot	100
Ackerslooth	100
Adragirj	100
Adriaen	100
Adriaense	100
Advis	100
Adviseert	100
Advys	100
Ady	100
Aende	100
Aenden	100
Aengaende	100
Aengesien	100
Aent	100
Agra	100
Agrasche	100
Agrase	100
Agrasen	100
Alchin	100
Alchins	100
Alchinse	100
Alchyn	100
Alj	100
Almacbtich	100
Almachlich	100
Almachligh	100
Almachtich	100
Almachtigen	100
Almachtigh	100
Almaclitich	100
Almactich	100
Almogende	100
Almogenden	100
Als	100
Amadabat	100
Amadabath	100
Amadabatse	100
Amand	100
Amant	100
Amba	100
Ambassadeur	100
Amber	100
Amboina	100
Amboinas	100
Amboinees	100
Amboineese	100
Amboineesen	100
Amboinese	100
Amboinesen	100
Amboinio	100
Amboinse	100
Amboinsen	100
Ambon	100
Ambonse	100
Amsia	100
Amsterdam	100
Ander	100
Andermael	100
Ando	100
Andrade	100
Andragiery	100
Andragiri	100
Andragirisen	100
Andragirj	100
Andre	100
Andregirj	100
Andries	100
Anite	100
Anlhonio	100
Anlhony	100
Anna	100
Annam	100
Anno	100
Antbonio	100
Antbony	100
Anthonio	100
Anthonis	100
Anthonissen	100
Anthonisz	100
Anthonj	100
Anthony	100
Antlionisz	100
Antonio	100
Antwoordende	100
Antwoort	100
Anum	100
April	100
Arenemuyden	100
Arent	100
Aria	100
Ariaen	100
Ariama	100
Arima	100
Arimasen	100
Arrabien	100
Arracan	100
Arracau	100
Arraccan	100
Arremagon	100
Arriveert	100
Assahangh	100
Assahoudis	100
Assahoudise	100
Assahoudj	100
Assahoulo	100
Assalatchan	100
Assalouhoe	100
Assalouloe	100
Assalouloes	100
Assaloulou	100
Asselouhoe	100
Asselouloe	100
Atche	100
Atchien	100
Atchin	100
Atchinder	100
Atchinders	100
Atchins	100
Atchinse	100
Atchinsen	100
Atchyn	100
Atchynder	100
Atchynders	100
Atchyns	100
Atchynse	100
Augustinus	100
Augustj	100
Augusto	100
Augusty	100
