freq	word
1	!?•
1	!s
2	"
1	"/^
1	"/ie
1	"34
1	"\
1	"door
1	"ende
1	"hem
1	"is
1	"lasten
1	"rn
1	"vwlies
1	#
1	$omme
15	%
1	%0
3	&
1	&*
1	&*.
2	&.
1	&^.
21	'
1	''S
1	'/
2	'/^
2	'/a
1	'/j
1	'/s
1	'Bantam
1	'Douta
1	'Ed
1	'Glaes
2	'I
1	'Igeene
1	'Ischyul
1	'Iselve
1	'Ivertreck
2	'Iwelck
1	'Neederlanderen
6	'S
41	'T
1	'^
1	'^^^
1	'aleer
2	'als
1	'bevroeden
1	'bisten
1	'by
1	'conde
1	'coopmanschappen
1	'daer
1	'dan
1	'de
1	'den
1	'die
2	'ende
1	'gebleven
1	'gecregen
1	'gelyck
1	'gepronunlieert
1	'had
1	'hadden
1	'hope
4	'i
2	'in
1	'k
9	'l
1	'leylant
1	'llaet
1	'maer
1	'meede
1	'meer
1	'met
1	'nae
1	'omtrent
1	'peper
1	'quamen
176	's
1380	't
1	'visite
1	'vreede
1	'waren
1	'weynich
1	(
5	(')
3	('t
7	(*)
1	(*).
1	(25
1	(4
1	(?)
1	(Code
1	(Commandeur
1	(God
1	(Gode
3	(Godt
1	(Goninck
1	(Hwelck
1	(J
1	(Miphant
1	(Onder
1	(Souvemeur
1	(TSIÜSSONANO
1	(Ulto
1	(]oluaringer
1	(^
4	(^)
1	(^^^^
1	(^gereyst
1	(^onincx
4	(aen
2	(al
3	(aldaer
1	(ale
1	(alhoewel
1	(alle
1	(allen
10	(als
6	(alsoo
1	(alsschoon
2	(alwaer
1	(alwaeren
1	(apparent
2	(behalven
1	(beneffens
1	(beschaemt
1	(bestaende
1	(buyten
5	(by
1	(byaldien
2	(comende
1	(corts
19	(daer
2	(daermede
3	(daertoe
20	(dat
2	(de
1	(dempto
3	(den
3	(der
1	(des
1	(desen
3	(dewelcke
50	(die
1	(docb
6	(doch
1	(doenmaels
13	(door
1	(doordien
6	(e
1	(een
1	(en
1	(er
1	(except
2	(excepto
1	(extreme
14	(f
1	(geene
1	(geiyck
1	(geladen
1	(gelost
22	(gelyck
4	(hebbende
1	(het
1	(hoe
1	(hoenders
6	(hoewel
1	(hollen
1	(hooft
1	(hoonden
1	(hun
1	(immers
2	(in
3	(indien
2	(ingevalle
1	(insonderheyt
1	(lager
1	(lale
1	(langhsamerhant
1	(leffens
1	(lenerael
1	(lopende
1	(maeckende
1	(maer
1	(meer
1	(meest
4	(met
2	(mits
1	(mnosel
1	(moeten
1	(mogelyck
1	(mynent
7	(nae
4	(naer
1	(neffens
3	(niet
1	(noch
1	(nomine
1	(nopende
1	(ocht
1	(ofte
12	(om
3	(omme
1	(onaengesien
1	(oncundigh
2	(onder
1	(ongeveer
1	(onseker
6	(op
2	(opt
1	(ousclierende
2	(over
1	(representerende
1	(rondelyck
1	(schipper
1	(siende
1	(siet
11	(sonder
26	(soo
1	(sooveel
1	(spoelende
1	(spreeckende
1	(staende
1	(sulcx
19	(synde
1	(synen
1	(syude
7	(t
1	(te
1	(tegens
5	(ten
4	(tot
1	(twee
1	(uylgesondert
4	(uyt
7	(uytgesondert
1	(uytwysende
6	(van
1	(vande
11	(vermits
1	(veyns^e
1	(volgen
14	(volgens
3	(voor
1	(vyandelyck
3	(waer
1	(waeronder
3	(waervan
2	(wanneer
2	(was
1	(wegens
1	(wel
2	(welck
1	(welcke
1	(welcker
1	(wie
1	(wiens
1	(ydich
6	(zynde
1	(zyude
1	(«der
1	(üoninck
3	)
1	))esettingh
13	*
1	*"
1	*S
4	*T
2	*Tis
1	*V4
4	*i
6	*l
1	*lcheer
7	*s
8	*sComp
2	*sConincx
1	*schryven
1	*smaents
70	*t
1	*tbos
1	*tbyten
1	*teen
1	*tgouvemo
1	*tsware
1	*tsy
1	*tvaeren
1	*tvoorleeden
1	*♦
6	-
1	-'s
1	-2yde
1	-80
1	-[des
1	-cargasoen
1	-coopen
1	-dat
1	-de
1	-ende
1	-lont
1	-onecnicheyt
1	-te
1	-vande
71	.
5	...
3	....
1	.11
1	.3Vi
1	.Coninck
1	.Maart
1	.Mangsor
1	.Piscadores
1	.S4
1	.Samen
1	.^7
1	.ach
1	.anders
1	.committers
1	.cours
1	.datum
1	.de
1	.den
1	.die
1	.eenen
2	.ende
1	.macht
1	.niet
1	.nu
1	.onderhandelinge
1	.oorlochs
1	.oprechten
1	.patolen
1	.porceleyn
1	.rycke
1	.schyn
1	.syn
1	.tot
1	.uyt
1	.vermerckende
1	.voort
1	.weynigh
61	/
7	/"
1	/"öTOlS
1	/'1183
1	/'1741
1	/'2681
1	/'286456
1	/'64145
