page	line	word
14	2	10
14	2	ditto
14	2	Nae
14	2	H
14	2	lesen
14	2	deser
14	2	brieven
14	2	heeft
14	2	zyn
14	2	Ed
14	2	met
14	2	de
14	2	gesanten
14	3	van
14	3	Queda
14	3	en
14	3	Bangry
14	3	vande
14	3	gelegentheyt
14	3	hunner
14	3	princen
14	3	ende
14	3	landen
14	3	vriendelyck
14	4	gediscoureert
14	4	ende
14	4	hun
14	4	't
14	4	syner
14	4	tyt
14	4	met
14	4	soodanigen
14	4	antwoort
14	4	naer
14	4	haer
14	4	landen
14	4	te
14	5	despecheren
14	5	toegeseyt
14	5	dat
14	5	hare
14	5	principalen
14	5	in
14	5	't
14	5	gunt
14	5	begeert
14	5	ende
14	5	versocht
14	5	hadden
14	6	goet
14	6	contentement
14	6	geschieden
14	6	soude
14	6	waer
14	6	voor
14	6	sylieden
14	6	nae
14	6	ootmoedige
14	6	dancksegginge
14	7	eerbiedigh
14	7	gescheyden
14	7	zyn
14	8	Op
14	8	dato
14	8	arriveren
14	8	hier
14	8	ter
14	8	reede
14	8	de
14	8	volgende
14	8	vaertuyghen
14	9	een
14	9	tingangh
14	9	en
14	9	lamboe
14	9	van
14	9	Grissee
14	9	geladen
14	9	met
14	9	7
14	9	lasten
14	9	rys
14	10	't
14	10	fluytschip
14	10	de
14	10	Sayer
14	10	van
14	10	d*eylanden
14	10	met
14	10	ballast
14	11	't
14	11	fluytschip
14	11	de
14	11	Maen
14	11	vande
14	11	Westcust
14	11	van
14	11	Sumatra
14	11	met
14	11	1125
14	11	bhaer
14	11	peper
14	12	monterende
14	12	75648
14	12	13:2
14	12	door
14	12	den
14	12	Oppercoopman
14	12	Bharent
14	12	Wichtmans
14	13	in
14	13	Tico
14	13	en
14	13	Priaman
14	13	genegotieert
14	14	't
14	14	jacht
14	14	Sanivoort
14	14	van
14	14	Atchin
14	14	over
14	14	Malacca
14	14	geladen
14	14	met
14	14	321
14	14	bhaer
14	14	peper
14	15	partye
14	15	solpher
14	15	en
14	15	campher
14	15	monterende
14	15	79756
14	15	10:8
14	15	brenght
14	15	mede
14	15	een
14	15	brieff
14	15	ende
14	16	gesanten
14	16	des
14	16	Conincx
14	16	van
14	16	Atchin
14	16	ende
14	16	tydingh
14	16	d'
14	16	onse
14	16	voor
14	16	Malacca
14	16	gelandt
14	16	de
14	17	voorstadt
14	17	verovert
14	17	ende
14	17	onder
14	17	pistoolschoot
14	17	by
14	17	de
14	17	mueren
14	17	waren
14	17	gelegert
14	17	zynde
14	17	den
14	18	Commissaris
14	18	Jan
14	18	de
14	18	Meer
14	18	daer
14	18	mede
14	18	verbleven
14	18	om
14	18	d'
14	18	heer
14	18	n^yoor
14	18	(als
14	18	secunda
14	19	persoon
14	19	mét
14	19	raet
14	19	en
14	19	daet
14	19	te
14	19	assisteeren
14	19	ende
14	19	adviseert
14	19	zyn
14	19	E
14	19	van
14	19	zyne
14	19	gedane
14	20	legatie
14	20	en
14	20	's
14	20	Comp
14	20	stant
14	20	in
14	20	Atchin
14	20	in
14	20	substantie
14	20	het
14	20	volgende
14	21	Dat
14	21	den
14	21	Coninck
14	21	van
14	21	Alchin
14	21	tot
14	21	't
14	21	presteren
14	21	syner
14	21	belooflde
14	21	assistentie
14	21	om
14	22	Malacca
14	22	te
14	22	bemachtigen
14	22	niet
14	22	genegen
14	22	nochte
14	22	te
14	22	beweghen
14	22	was
14	22	maer
14	22	sulcx
14	22	om
14	23	't
14	23	gemaeckte
14	23	verbont
14	23	met
14	23	den
14	23	Coninck
14	23	en
14	23	Laxamana
14	23	van
14	23	Johor
14	23	als
14	23	een
14	23	genoechsame
14	24	reden
14	24	excuseert
14	24	ende
14	24	hem
14	24	daerenboven
14	24	seer
14	24	misnoegende
14	24	bethoont
14	24	dat
14	24	dese
14	24	zyne
14	25	vyanden
14	25	tot
14	25	onse
14	25	vnmden
14	25	aengenomen
14	25	hebben
14	25	en
14	25	hy
14	25	ter
14	25	contrarie
14	25	onse
14	25	vyanden
14	25	de
14	26	Portugiesen
14	26	als
14	26	zyne
14	26	May
14	26	vyanden
14	26	verclaert
14	26	en
14	26	veel
14	26	der
14	26	selver
14	26	doen
14	26	dooden
14	26	heeft
14	26	zich
14	27	vastelyck
14	27	inbeeldende
14	27	wy
14	27	de
14	27	Johoriten
14	27	tegen
14	27	hem
14	27	sullen
14	27	protecteeren
14	27	niet
14	27	sonder
14	28	vreese
14	28	dat
14	28	met
14	28	deselve
14	28	combineren
14	28	zyn
14	28	landt
14	28	invaderen
14	28	en
14	28	een
14	28	gedeelte
14	28	syner
14	28	vermaerde
14	29	rycke
14	29	schatten
14	29	(by
14	29	gelegentheyt
14	29	rooven
14	29	mochten
14	29	zynde
14	29	vol
14	29	wantrouwige
14	29	speculatien
14	30	over
14	30	de
14	30	voorspoedige
14	30	opclimmende
14	30	hoogh
14	30	vanden
14	30	Nederlantsen
14	30	staét
14	30	van
14	30	herrewaerts
14	31	over
14	31	seer
14	31	sorgende
14	31	dat
14	31	naer
14	31	't
14	31	bemachtigen
14	31	van
14	31	Malacca
14	31	by
14	31	deselve
14	31	in
14	31	minder
14	32	achtinge
14	32	(tot
14	32	verclyninge
14	32	van
14	32	zyn
14	32	Hoogh
14	32	ende
14	32	geconcipieerde
14	32	concpiesten
14	32	tot
14	32	dominatie
14	33	wesen
14	33	sal
14	33	weshalven
14	33	oock
14	33	bedenckelyck
14	33	is
14	33	zyne
14	33	alreets
14	33	geprepareerde
14	33	hulpe
14	33	tot
14	34	1
15	2	Malaccas
15	2	conquesle
15	2	opgehouden
15	2	en
15	2	't
15	2	verliondt
15	2	met
15	2	den
15	2	Johorit
15	2	als
15	2	d'
15	2	eenige
15	2	oirsaecke
15	3	zyner
15	3	gedaene
15	3	weygeringh
15	3	gecapleerl
15	3	heeft
15	3	corlelyck
15	3	t
15	3	is
15	3	seecker
15	3	syne
15	3	May
15	4	d'
15	4	aengetogen
15	4	vrunischap
15	4	mei
15	4	de
15	4	Johorilen
15	4	ten
15	4	hooghslen
15	4	mishaeght
15	4	en
15	4	in
15	4	gevolge
15	5	d'
15	5	Alchinse
15	5	en
15	5	Nederlanfsche
15	5	aliantie
15	5	een
15	5	groeten
15	5	krack
15	5	gecregen
15	5	heeft
15	6	Welcke
15	6	wyderingh
15	6	(nae
15	6	des
15	6	Commissaris
15	6	meyninge
15	6	met
15	6	geen
15	6	ander
15	6	middel
15	7	ie
15	7	redresseren
15	7	is
15	7	dan
15	7	dal
15	7	door
15	7	onse
15	7	beleydinge
15	7	den
15	7	Johorsen
15	7	Coninck
15	7	t'
15	7	zyner
15	8	gehoorsaemheyl
15	8	gereduceerl
15	8	immers
15	8	tol
15	8	't
15	8	schicken
15	8	zyner
15	8	ambassaten
15	8	lol
15	8	bemiddelen
15	9	van
15	9	den
15	9	vreede
15	9	nae
15	9	Alchin
15	9	bewogen
15	9	wierl
15	9	door
15	9	welck
15	9	middel
15	9	alleen
15	9	't
15	9	opgenomen
15	10	mistrouwen
15	10	vernielight
15	10	en
15	10	onse
15	10	natie
15	10	in
15	10	voorige
15	10	ja
15	10	meerdere
15	10	reputatie
15	10	by
15	10	zyne
15	10	May
15	11	van
15	11	Alchin
15	11	geraken
15	11	sal
15	11	zulcx
15	11	dal
15	11	de
15	11	Comp
15	11	niet
15	11	alleen
15	11	zyne
15	11	verleende
15	11	preminenlien
15	12	vredelyck
15	12	genieten
15	12	maer
15	12	noch
15	12	andere
15	12	liberale
15	12	prerogaliven
15	12	erlangen
15	12	sal
15	12	ter
15	12	contrarie
15	13	d'
15	13	een
15	13	off
15	13	d'
15	13	ander
15	13	haperingh
15	13	te
15	13	verwachten
15	13	slaet
15	13	die
15	13	van
15	13	soo
15	13	fieren
15	13	glorieusen
15	14	Coninck
15	14	ten
15	14	hooghslen
15	14	bedenckelyk
15	14	is
15	14	waeromme
15	14	daerinne
15	14	tydelyck
15	14	versien
15	14	ende
15	14	soo
15	15	periculeusen
15	15	motie
15	15	op
15	15	't
15	15	accommodabelsle
15	15	geset
15	15	ende
15	15	vernielight
15	15	dient
15	16	Des
15	16	Commissaris
15	16	vorderen
15	16	last
15	16	tol
15	16	firmalie
15	16	onser
15	16	previlegien
15	16	op
15	16	Sumalras
15	17	Weslcusl
15	17	was
15	17	door
15	17	's
15	17	Conincx
15	17	faveur
15	17	facyl
15	17	geproccureert
15	17	ende
15	17	aende
15	17	Panghlymas
15	17	off
15	18	Gouverneurs
15	18	van
15	18	de
15	18	Weslcusl
15	18	by
15	18	2
15	18	Grraans
15	18	offle
15	18	schrift
15	18	elycke
15	18	mandamenlen
15	18	geordonneert
15	19	1
15	19	dal
15	19	's
15	19	Conincx
15	19	schuit
15	19	van
15	19	252627
15	19	realen
15	19	tegen
15	19	de
15	19	thoUen
15	19	vande
15	19	Westcusts
15	20	l}eper
15	20	gecorl
15	20	sal
15	20	worden
15	21	2
15	21	dal
15	21	des
15	21	May
15	21	peper
15	21	van
15	21	subsidien
15	21	in
15	21	Ticou
15	21	mede
15	21	lol
15	21	affcortinge
15	21	der
15	21	schuit
15	21	sal
15	22	gelevert
15	22	werden
15	23	3
15	23	dal
15	23	nae
15	23	voldoeningh
15	23	der
15	23	schuit
15	23	den
15	23	reacl
15	23	pedangh
15	23	ofte
15	23	rycxdaelder
15	23	als
15	23	den
15	24	Spaenschen
15	24	reael
15	24	in
15	24	't
15	24	belalen
15	24	der
15	24	Ihollen
15	24	valideeren
15	24	sal
15	25	4
15	25	dat
15	25	't
15	25	jacht
15	25	Grol
15	25	jaerlycx
15	25	eenmael
15	25	Iholsvryheyt
15	25	in
15	25	Priaman
15	25	Indrapoura
15	25	en
15	25	Ticou
15	26	successive
15	26	sal
15	26	genieten
15	27	5
15	27	dal
15	27	den
15	27	Coninck
15	27	50
15	27	bharen
15	27	peper
15	27	aen
15	27	d'
15	27	Ed
15	27	heer
15	27	Gouverneur
15	27	Generael
15	27	vereer
15	28	die
15	28	de
15	28	Panglima
15	28	van
15	28	Ticou
15	28	leveren
15	28	sal
15	29	Met
15	29	dese
15	29	ordre
15	29	was
15	29	den
15	29	Oppercoopman
15	29	Wichtmans
15	29	in
15	29	Juny
15	29	verleden
15	29	met
15	30	't
15	30	jacht
15	30	Leecq
15	30	uyl
15	30	Alchin
15	30	nae
15	30	de
15	30	Weslcusl
15	30	van
15	30	Sumatra
15	30	verlrocken
15	30	ende
15	30	hadde
15	30	hem
15	31	Syne
15	31	May
15	31	doorgaens
15	31	tegen
15	31	den
15	31	Commissaris
15	31	De
15	31	Meere
15	31	ende
15	31	Comp
15	31	daer
15	31	zynde
15	32	gelegenlheyt
15	32	gunstigh
15	32	vriendelyck
15	32	en
15	32	liberael
15	32	gethoont
15	33	De
15	33	heer
15	33	Commissaris
15	33	hadde
15	33	op
15	33	zyn
15	33	compsle
15	33	in
