gram	freq
!^w	1
!hr	1
!ol	1
!om	5
!on	5
!s	1
"/i	1
"Ju	1
"da	1
"di	2
"do	1
"en	1
"he	1
"is	1
"la	1
"pr	1
"rn	1
"vw	1
