gramHapax	gramGood	quality
$om	som	1.0
&ey	bey	1.0
(Hi	our	1.0
))o	boo	1.0
)os	oos	0.5
*Na	erb	1.0
*he	ene	1.0
*ou	ebi	1.0
*sa	esa	1.0
*sc	esc	0.25
6ci	gen	1.0
6nd	ond	1.0
<er	gen	1.0
<le	ale	1.0
<ra	ord	1.0
>en	oel	0.5
>et	ael	1.0
>ha	ana	1.0
Aet	Aen	1.0
AfU	Ant	1.0
AnI	Ant	1.0
ArU	Ant	1.0
AtU	Ant	1.0
Att	Arr	1.0
AËT	AET	1.0
BOO	ndo	1.0
Bic	lic	1.0
Bne	ine	0.5
But	nit	1.0
CEs	ens	1.0
CTd	erd	1.0
CaO	cap	1.0
Cbr	con	1.0
Ccy	Cey	1.0
D*p	leg	1.0
Dga	nga	1.0
Dge	nge	1.0
Dil	uli	0.5
Din	lli	0.5
Dry	riv	1.0
Dti	nti	1.0
EDg	Eng	1.0
Eli	uli	1.0
Ere	Bre	1.0
Ese	ise	1.0
Eug	Eng	1.0
FOo	nga	1.0
Fal	Pal	1.0
Fde	tde	1.0
Fig	ing	1.0
Gbi	can	1.0
Gbr	con	1.0
Ghé	Che	1.0
Gob	cab	1.0
Heu	heu	1.0
Hff	iff	1.0
Hwé	twe	1.0
INt	Pun	1.0
ISa	tsa	1.0
ISh	tst	1.0
I^x	lax	1.0
Ian	lan	1.0
Icy	lcx	1.0
Ili	Pri	1.0
Iny	luy	1.0
Ira	tra	1.0
Iro	tro	1.0
Ise	ise	0.25
Iwa	twa	1.0
Iwe	twe	1.0
Iwo	two	1.0
JQg	lop	1.0
Jat	Bat	1.0
Jdp	Jap	1.0
Joo	roo	1.0
Kda	ndo	1.0
Kea	Feb	1.0
Kep	reg	1.0
LAË	LAE	1.0
Leq	req	0.5
Leu	reu	1.0
Lop	rab	1.0
Lys	rys	1.0
M)p	mod	1.0
Maa	moo	0.5
Mdc	Mac	1.0
Nam	nam	1.0
Nat	nat	1.0
Nof	lof	1.0
Non	Jon	1.0
Not	han	1.0
Nui	ult	1.0
Oew	dew	1.0
Old	ang	1.0
Ole	gie	1.0
Onv	onv	1.0
Osc	osc	1.0
Ost	ast	0.25
Ouw	ouw	1.0
P^g	hoo	1.0
Pav	lav	1.0
Peb	Feb	1.0
Pod	had	1.0
Pér	Per	1.0
Qde	ppe	1.0
Qge	ape	1.0
Qjp	pro	1.0
Quy	bly	1.0
Rar	Har	1.0
Rau	Ran	1.0
Ref	ref	1.0
Rit	lli	0.5
Riv	riv	1.0
Roe	l)e	0.5
Roo	roo	1.0
Ryc	ryc	1.0
Sah	sou	0.5
Sat	sar	0.5
Seu	Sen	1.0
Ske	ste	1.0
Sne	ste	1.0
Snt	sul	1.0
Suo	Sno	1.0
Thu	thu	1.0
Tip	ind	1.0
Tit	lit	0.25
Tiv	riv	0.25
Tke	fle	0.5
Ttt	Tri	1.0
TuU	ull	1.0
UAN	RAN	0.25
UEs	nis	1.0
Ube	nde	1.0
Uer	len	1.0
Uhe	lle	1.0
Uip	lip	1.0
Uuy	Duy	1.0
ViT	vir	1.0
Vi^	ynd	0.5
