├gr┤cc»	freqContext	freqGram
├en┤de»	11945	71724
├en┤, »	7798	71724
├en┤ e»	3352	71724
├en┤ v»	3255	71724
├en┤ d»	2721	71724
├en┤ s»	2462	71724
├en┤ g»	2370	71724
├en┤ t»	2137	71724
├en┤ o»	2055	71724
├en┤ a»	2002	71724
├en┤ w»	1976	71724
├en┤ h»	1933	71724
├en┤ m»	1838	71724
├en┤ c»	1559	71724
├en┤ b»	1360	71724
├en┤s »	1298	71724
├en┤; »	1246	71724
├en┤t »	1192	71724
├en┤ n»	999	71724
├en┤ i»	950	71724
├en┤ig»	862	71724
├en┤ C»	746	71724
├en┤ p»	739	71724
├en┤ge»	710	71724
├en┤en»	612	71724
├en┤ r»	583	71724
├en┤ l»	526	71724
├en┤e »	482	71724
├en┤ G»	463	71724
├en┤ D»	439	71724
├en┤se»	393	71724
├en┤ j»	374	71724
├en┤er»	354	71724
├en┤ti»	333	71724
├en┤te»	328	71724
├en┤ 2»	316	71724
├en┤ S»	303	71724
├en┤ 1»	274	71724
├en┤st»	270	71724
├en┤ u»	251	71724
├en┤ E»	237	71724
├en┤th»	218	71724
├en┤ M»	205	71724
├en┤ck»	203	71724
├en┤ae»	186	71724
├en┤om»	186	71724
├en┤ '»	169	71724
├en┤ P»	168	71724
├en┤ H»	158	71724
├en┤t,»	158	71724
├en┤ O»	153	71724
├en┤ (»	148	71724
├en┤) »	145	71724
├en┤ga»	133	71724
├en┤ic»	132	71724
├en┤ A»	125	71724
├en┤ T»	120	71724
├en┤sc»	120	71724
├en┤ V»	119	71724
├en┤s,»	114	71724
├en┤tl»	114	71724
├en┤eg»	111	71724
├en┤di»	110	71724
├en┤si»	109	71724
├en┤ B»	107	71724
├en┤ N»	105	71724
├en┤oo»	101	71724
├en┤in»	98	71724
├en┤ J»	97	71724
├en┤ f»	95	71724
├en┤ie»	87	71724
├en┤ I»	84	71724
├en┤ 3»	81	71724
├en┤ K»	80	71724
├en┤ W»	79	71724
├en┤wo»	77	71724
├en┤ 4»	76	71724
├en┤ni»	75	71724
├en┤ k»	74	71724
├en┤dr»	74	71724
├en┤. »	73	71724
├en┤ne»	70	71724
├en┤to»	69	71724
├en┤el»	66	71724
├en┤ q»	65	71724
├en┤ U»	64	71724
├en┤ z»	64	71724
├en┤ou»	64	71724
├en┤^ »	60	71724
├en┤ y»	59	71724
├en┤is»	58	71724
├en┤ Q»	57	71724
├en┤gi»	54	71724
├en┤ts»	54	71724
├en┤vo»	54	71724
├en┤ly»	52	71724
├en┤ 5»	51	71724
├en┤ L»	48	71724
├en┤: »	46	71724
├en┤ 6»	43	71724
├en┤ R»	43	71724
├en┤co»	43	71724
├en┤ta»	42	71724
├en┤we»	38	71724
├en┤oe»	37	71724
├en┤an»	35	71724
├en┤ys»	35	71724
├en┤ef»	34	71724
├en┤ 8»	32	71724
├en┤em»	32	71724
├en┤gh»	31	71724
├en┤bo»	29	71724
├en┤e,»	29	71724
├en┤ 7»	28	71724
├en┤ma»	28	71724
├en┤va»	27	71724
├en┤ju»	24	71724
├en┤ 9»	23	71724
├en┤ ^»	22	71724
├en┤),»	22	71724
├en┤ad»	22	71724
├en┤bu»	22	71724
├en┤ho»	22	71724
├en┤ba»	21	71724
├en┤ed»	21	71724
├en┤lo»	21	71724
├en┤ F»	19	71724
├en┤ ü»	19	71724
├en┤ha»	19	71724
├en┤ee»	17	71724
├en┤» »	17	71724
├en┤av»	16	71724
├en┤ep»	16	71724
├en┤li»	16	71724
├en┤sl»	16	71724
├en┤sp»	16	71724
├en┤ *»	15	71724
├en┤tb»	15	71724
├en┤ar»	14	71724
├en┤ /»	13	71724
├en┤do»	13	71724
├en┤dt»	13	71724
├en┤l »	13	71724
├en┤t;»	13	71724
├en┤* »	12	71724
├en┤lu»	12	71724
├en┤br»	11	71724
├en┤gt»	11	71724
├en┤le»	11	71724
├en┤ot»	11	71724
├en┤ .»	10	71724
├en┤es»	10	71724
├en┤la»	10	71724
├en┤am»	9	71724
├en┤au»	9	71724
├en┤iu»	9	71724
├en┤lh»	9	71724
├en┤na»	9	71724
├en┤ri»	9	71724
├en┤ac»	8	71724
├en┤ce»	8	71724
├en┤d »	8	71724
├en┤dc»	8	71724
├en┤sd»	8	71724
├en┤t.»	8	71724
├en┤t:»	8	71724
├en┤ty»	8	71724
├en┤ [»	7	71724
├en┤al»	7	71724
├en┤da»	7	71724
├en┤pl»	7	71724
├en┤tj»	7	71724
├en┤ ;»	6	71724
├en┤ Y»	6	71724
├en┤be»	6	71724
├en┤ca»	6	71724
├en┤dë»	6	71724
├en┤ib»	6	71724
├en┤ja»	6	71724
├en┤on»	6	71724
├en┤qu»	6	71724
├en┤ra»	6	71724
├en┤wa»	6	71724
├en┤ Z»	5	71724
├en┤ è»	5	71724
├en┤' »	5	71724
├en┤'t»	5	71724
├en┤,,»	5	71724
├en┤ch»	5	71724
├en┤eu»	5	71724
├en┤hu»	5	71724
├en┤oc»	5	71724
├en┤s;»	5	71724
├en┤sg»	5	71724
├en┤t)»	5	71724
├en┤ei»	4	71724
├en┤ev»	4	71724
├en┤he»	4	71724
├en┤iv»	4	71724
├en┤ll»	4	71724
├en┤mo»	4	71724
├en┤so»	4	71724
├en┤tg»	4	71724
├en┤ue»	4	71724
├en┤vi»	4	71724
├en┤ \»	3	71724
├en┤ »»	3	71724
├en┤ Ü»	3	71724
├en┤ ö»	3	71724
├en┤,.»	3	71724
├en┤a »	3	71724
├en┤bi»	3	71724
├en┤cl»	3	71724
├en┤dé»	3	71724
├en┤it»	3	71724
├en┤ke»	3	71724
├en┤l,»	3	71724
├en┤op»	3	71724
├en┤ry»	3	71724
├en┤s'»	3	71724
├en┤sh»	3	71724
├en┤sz»	3	71724
├en┤tr»	3	71724
├en┤vl»	3	71724
├en┤wi»	3	71724
├en┤ -»	2	71724
├en┤ ?»	2	71724
├en┤ ó»	2	71724
├en┤';»	2	71724
├en┤'m»	2	71724
├en┤,'»	2	71724
├en┤- »	2	71724
├en┤-d»	2	71724
├en┤-e»	2	71724
├en┤^e»	2	71724
├en┤a,»	2	71724
├en┤ag»	2	71724
├en┤bl»	2	71724
├en┤bü»	2	71724
├en┤cr»	2	71724
├en┤e;»	2	71724
