gram	frequency
en┤	47932
er	25262
nd	21277
de┤	17968
de	17411
en	15275
ae	13845
er┤	12524
ee	12097
├ge	11225
an	10976
el	9939
oo	9847
re	9296
ch	9029
ge	8977
te	8634
an┤	8194
├va	8031
et┤	7839
├en	7752
es	7479
ie	6736
├de	6535
on	6324
ng	6183
or	6176
le	6099
├da	5949
ck	5818
├me	5725
ed	5655
ve	5551
in	5285
se	5274
ck┤	5126
├ve	5078
ou	5034
ec	4972
nt	4763
ne	4740
├ee	4634
oe	4584
├vo	4566
├de┤	4429
├te┤	4359
me	4339
st	4328
ad	4134
├wa	4102
ar	4059
├co	4011
ke	3988
├so	3985
├al	3980
om	3975
├we	3875
ra	3837
nt┤	3794
ac	3675
├he	3658
la	3583
rd	3489
eg	3481
al	3440
oc	3427
ni	3406
├be	3332
ey	3329
rt	3302
te┤	3275
ro	3266
rs	3264
rt┤	3173
├ha	3155
et	3128
├na	3059
yc	3039
at┤	3022
ie┤	2992
├on	2988
at	2977
sc	2961
ri	2930
ev	2833
ta	2757
ti	2749
├sy	2729
├ae	2711
yn┤	2698
em	2693
ic	2686
el┤	2683
he	2680
ns	2672
pe	2653
ly	2652
ll	2649
yt┤	2645
├ma	2639
ch┤	2624
co	2558
uy	2472
ht┤	2404
rs┤	2398
├di	2369
nc	2325
ud	2305
├in┤	2289
ma	2275
ge┤	2274
eb	2241
so	2240
ig	2223
or┤	2208
se┤	2207
gh┤	2204
da	2196
it	2169
yn	2147
ol	2116
as	2092
ss	2084
├to	2070
├do	2063
tr	2024
├re	2006
ns┤	1983
ls┤	1970
as┤	1950
li	1947
ts	1918
dd	1858
ho	1858
├ni	1858
ot┤	1843
am	1820
re┤	1805
├se	1805
├d'┤	1796
nn	1793
si	1790
lv	1787
ht	1782
di	1781
be	1770
ve┤	1769
ha	1764
├la	1748
├op┤	1748
we	1731
├in	1712
is	1674
├st	1671
ga	1667
rl	1656
ld	1649
├sc	1622
oo┤	1581
├Ma	1578
ae┤	1561
hi	1525
st┤	1503
├Co	1493
ag	1482
lc	1472
lo	1468
ap	1444
op	1436
ul	1431
tt	1427
es┤	1408
ne┤	1387
├'t┤	1380
├uy	1360
ts┤	1357
rc	1325
le┤	1288
eu	1286
├an	1284
rn	1254
pa	1254
ot	1254
├go	1246
ep	1243
yd	1238
mm	1228
sa	1215
ef	1209
wa	1196
ew	1196
├te	1186
yt	1183
├pa	1175
ff	1170
├mo	1162
il	1158
to	1156
vo	1145
├ca	1110
gh	1106
├oo	1104
bb	1103
├ho	1101
ke┤	1090
od	1085
ua	1082
tu	1081
na	1080
├hu	1061
ea	1048
ys	1046
├wi	1046
├om┤	1034
uc	1018
rg	1016
├sa	1012
├mi	1001
va	988
rr	985
mb	983
pp	972
├su	969
├ov	961
├Ja	957
rm	956
├ja	951
us	948
ur	940
├pr	940
├cl	919
ca	906
ls	905
├no	901
ys┤	899
lt	896
├by┤	893
dt┤	888
├E┤	883
├Go	879
lu	879
├of	878
ry	873
├op	863
ff┤	862
bo	860
os	825
eh	819
on┤	816
ur┤	813
├gr	793
ru	792
ov	791
├vr	786
ft	786
hr	778
├Ba	775
th	771
lt┤	769
├br	768
├en┤	765
un	759
am┤	751
no	747
dr	738
├pe	738
iv	736
ia	733
vi	722
em┤	714
br	703
mi	698
cx┤	689
al┤	689
oe┤	686
og	682
un┤	675
ba	671
mp┤	670
id	666
wo	666
uw	659
cc	659
kt┤	648
av	646
uv	646
rw	645
├bo	643
