#words	ocr-kkey	word	legality
34	i1o1i1	Bon	50
34	i1o1i1	Jau	50
34	i1o1i1	Jou	50
34	i1o1i1	Pau	50
34	i1o1i1	Tan	50
34	i1o1i1	fon	50
34	i1o1i1	for	50
34	i1o1i1	hot	50
34	i1o1i1	hou	50
34	i1o1i1	kat	50
34	i1o1i1	lol	50
34	i1o1i1	nat	50
34	i1o1i1	nau	50
34	i1o1i1	rat	50
34	i1o1i1	rol	50
34	i1o1i1	rou	50
34	i1o1i1	Eat	25
34	i1o1i1	iot	25
34	i1o1i1	lof	25
34	i1o1i1	101	0
34	i1o1i1	161	0
34	i1o1i1	191	0
34	i1o1i1	1^1	0
34	i1o1i1	DON	0
34	i1o1i1	EdK	0
34	i1o1i1	Edr	0
34	i1o1i1	P^r	0
34	i1o1i1	i^u	0
34	i1o1i1	j^i	0
34	i1o1i1	l^i	0
34	i1o1i1	l^t	0
34	i1o1i1	n^t	0
34	i1o1i1	t&ü	0
34	i1o1i1	tót	0
31	i1o1	10	0
31	i1o1	16	0
31	i1o1	19	0
31	i1o1	BO	0
31	i1o1	Do	0
31	i1o1	Ho	0
31	i1o1	JO	0
31	i1o1	Ja	0
31	i1o1	KO	0
31	i1o1	La	0
31	i1o1	Pa	0
31	i1o1	Up	0
31	i1o1	fa	0
31	i1o1	ho	0
31	i1o1	i9	0
31	i1o1	iO	0
31	i1o1	ib	0
31	i1o1	io	0
31	i1o1	iq	0
31	i1o1	ja	0
31	i1o1	jo	0
31	i1o1	kq	0
31	i1o1	lO	0
31	i1o1	la	0
31	i1o1	ló	0
31	i1o1	na	0
31	i1o1	ta	0
31	i1o1	tb	0
31	i1o1	£d	0
31	i1o1	Ëd	0
31	i1o1	ïö	0
31	o1i1	(J	0
31	o1i1	(f	0
31	o1i1	(t	0
31	o1i1	61	0
31	o1i1	91	0
31	o1i1	9P	0
31	o1i1	<f	0
31	o1i1	<t	0
31	o1i1	Of	0
31	o1i1	^1	0
31	o1i1	^P	0
31	o1i1	^T	0
31	o1i1	^j	0
31	o1i1	^n	0
31	o1i1	^t	0
31	o1i1	aJ	0
31	o1i1	aU	0
31	o1i1	ah	0
31	o1i1	ai	0
31	o1i1	ak	0
31	o1i1	an	0
31	o1i1	ar	0
31	o1i1	at	0
31	o1i1	di	0
31	o1i1	dl	0
31	o1i1	dr	0
31	o1i1	du	0
31	o1i1	of	0
31	o1i1	ol	0
31	o1i1	on	0
31	o1i1	pf	0
30	i11	11	0
30	i11	1B	0
30	i11	1K	0
30	i11	DE	0
30	i11	EE	0
30	i11	EL	0
30	i11	En	0
30	i11	HU	0
30	i11	Hu	0
30	i11	IB	0
30	i11	IF	0
30	i11	II	0
30	i11	IJ	0
30	i11	IK	0
30	i11	IN	0
30	i11	IP	0
30	i11	Nu	0
30	i11	UE	0
30	i11	UI	0
30	i11	fi	0
30	i11	ii	0
30	i11	ik	0
30	i11	il	0
30	i11	li	0
30	i11	ll	0
30	i11	lË	0
30	i11	tl	0
30	i11	ÏÈ	0
30	i11	ÜE	0
30	i11	ül	0
25	i1o1c1i1	Boch	75
25	i1o1c1i1	Doch	75
25	i1o1c1i1	Doen	75
25	i1o1c1i1	Noch	75
25	i1o1c1i1	jock	75
25	i1o1c1i1	naef	75
25	i1o1c1i1	raei	75
25	i1o1c1i1	roei	75
25	i1o1c1i1	tack	75
25	i1o1c1i1	Jacu	58
25	i1o1c1i1	NaeH	58
25	i1o1c1i1	Uaer	58
25	i1o1c1i1	hacr	58
25	i1o1c1i1	ider	58
25	i1o1c1i1	nacr	58
25	i1o1c1i1	uaer	58
25	i1o1c1i1	npch	34
25	i1o1c1i1	haèr	16
25	i1o1c1i1	l)en	16
25	i1o1c1i1	l^ch	16
25	i1o1c1i1	n#er	16
25	i1o1c1i1	n>et	16
25	i1o1c1i1	n^et	16
25	i1o1c1i1	naér	16
25	i1o1c1i1	t)ên	0
24	o1i11	afi	50
24	o1i11	dil	50
24	o1i11	oni	50
24	o1i11	oul	50
24	o1i11	pit	50
24	o1i11	put	50
24	o1i11	(in	25
24	o1i11	Oin	25
24	o1i11	Ouj	25
24	o1i11	^it	25
24	o1i11	^ni	25
24	o1i11	afT	25
24	o1i11	afl	25
24	o1i11	aiT	25
24	o1i11	alT	25
24	o1i11	buD	25
24	o1i11	ofl	25
24	o1i11	oiï	25
24	o1i11	olF	25
24	o1i11	olT	25
24	o1i11	OLE	0
24	o1i11	a£f	0
24	o1i11	dTi	0
24	o1i11	ótn	0
23	i1c1i1	Ben	50
23	i1c1i1	Der	50
23	i1c1i1	Eer	50
23	i1c1i1	Hef	50
23	i1c1i1	Hel	50
23	i1c1i1	Per	50
23	i1c1i1	Ter	50
23	i1c1i1	fel	50
23	i1c1i1	hei	50
23	i1c1i1	her	50
23	i1c1i1	iet	50
23	i1c1i1	jen	50
23	i1c1i1	jet	50
23	i1c1i1	ken	50
23	i1c1i1	lek	50
23	i1c1i1	len	50
23	i1c1i1	nen	50
23	i1c1i1	reu	50
23	i1c1i1	DeD	25
23	i1c1i1	Ier	25
23	i1c1i1	uen	25
23	i1c1i1	«en	25
23	i1c1i1	hét	0
22	o11i1	bal	50
22	o11i1	dai	50
22	o11i1	don	50
22	o11i1	gau	50
22	o11i1	pan	50
22	o11i1	pat	50
22	o11i1	pau	50
22	o11i1	pot	50
22	o11i1	(al	25
22	o11i1	aan	25
22	o11i1	ook	25
22	o11i1	opH	25
22	o11i1	opl	25
22	o11i1	6^1	0
22	o11i1	991	0
22	o11i1	^^U	0
22	o11i1	^^i	0
22	o11i1	^^n	0
22	o11i1	a(F	0
22	o11i1	a(T	0
22	o11i1	d<f	0
22	o11i1	o#Ü	0
22	o1c1i1	aeu	50
22	o1c1i1	ber	50
22	o1c1i1	dei	50
22	o1c1i1	del	50
22	o1c1i1	det	50
22	o1c1i1	deu	50
22	o1c1i1	gef	50
22	o1c1i1	gel	50
22	o1c1i1	gen	50
22	o1c1i1	pen	50
22	o1c1i1	pet	50
22	o1c1i1	(en	25
22	o1c1i1	(er	25
22	o1c1i1	Oen	25
22	o1c1i1	^en	25
22	o1c1i1	^et	25
22	o1c1i1	acn	25
22	o1c1i1	bén	25
22	o1c1i1	oen	25
22	o1c1i1	aèn	0
22	o1c1i1	d*E	0
22	o1c1i1	pér	0
21	o11	(^	0
21	o11	60	0
21	o11	66	0
21	o11	69	0
21	o11	6Ö	0
21	o11	90	0
21	o11	96	0
21	o11	>)	0
21	o11	^0	0
21	o11	^9	0
21	o11	^^	0
21	o11	^a	0
21	o11	^o	0
21	o11	aO	0
21	o11	ad	0
21	o11	ao	0
21	o11	ba	0
21	o11	da	0
21	o11	dö	0
21	o11	pa	0
21	o11	»»	0
18	i111	Elj	75
18	i111	ffi	75
18	i111	Dit	50
18	i111	Hun	50
18	i111	Nul	50
18	i111	Pit	50
18	i111	Tin	50
18	i111	fif	50
18	i111	fin	50
18	i111	lil	50
18	i111	uit	50
18	i111	Diu	25
18	i111	inl	25
18	i111	nun	25
18	i111	nut	25
18	i111	tjn	25
18	i111	111	0
18	i111	hnn	0
18	i1o11	Doa	50
18	i1o11	lap	50
18	i1o11	top	50
18	i1o11	lag	25
18	i1o11	nog	25
18	i1o11	100	0
18	i1o11	106	0
18	i1o11	109	0
18	i1o11	160	0
18	i1o11	190	0
18	i1o11	199	0
18	i1o11	1^6	0
18	i1o11	BOO	0
18	i1o11	idO	0
18	i1o11	l^a	0
18	i1o11	lÓO	0
18	i1o11	löO	0
18	i1o11	ï^a	0
18	i1o1i11	lanl	84
18	i1o1i11	Bali	75
18	i1o1i11	Lokj	75
18	i1o1i11	Pati	75
18	i1o1i11	Paul	75
18	i1o1i11	lail	75
18	i1o1i11	laul	75
18	i1o1i11	lont	75
18	i1o1i11	noir	75
18	i1o1i11	torn	75
18	i1o1i11	hofl	58
18	i1o1i11	iant	58
18	i1o1i11	lofF	58
18	i1o1i11	hair	50
18	i1o1i11	JOHN	42
18	i1o1i11	tbin	34
18	i1o1i11	h^ft	16
18	i1o1i11	r^ht	16
17	i1o11i1	hadl	84
17	i1o11i1	Babj	75
17	i1o11i1	Boon	75
17	i1o11i1	Lopj	75
17	i1o11i1	Raat	75
17	i1o11i1	Toon	75
17	i1o11i1	Toor	75
17	i1o11i1	raat	75
17	i1o11i1	Iaat	58
17	i1o11i1	Nabi	58
17	i1o11i1	hadf	58
17	i1o11i1	TOor	16
17	i1o11i1	l)on	16
17	i1o11i1	1061	0
17	i1o11i1	1991	0
17	i1o11i1	I^^t	0
17	i1o11i1	P^^l	0
17	i1v1i1	Uyt	50
17	i1v1i1	fyn	50
17	i1v1i1	lyl	50
17	i1v1i1	lyn	50
17	i1v1i1	tyl	50
17	i1v1i1	tyn	50
17	i1v1i1	IVi	25
17	i1v1i1	Lyn	25
17	i1v1i1	iVi	25
17	i1v1i1	iyl	25
17	i1v1i1	nyt	25
17	i1v1i1	tyi	25
17	i1v1i1	uyr	25
17	i1v1i1	üyt	25
17	i1v1i1	iVj	0
17	i1v1i1	iyi	0
17	i1v1i1	lYj	0
17	o111	boa	50
17	o111	goo	50
17	o111	(op	25
17	o111	6oa	25
17	o111	^oo	25
17	o111	aoo	25
17	o111	(^)	0
17	o111	600	0
17	o111	606	0
17	o111	690	0
17	o111	696	0
17	o111	900	0
17	o111	960	0
17	o111	966	0
17	o111	^00	0
17	o111	^^9	0
17	o111	^^^	0
16	o11c1i1	Oock	75
16	o11c1i1	adel	75
16	o11c1i1	back	75
16	o11c1i1	daef	75
16	o11c1i1	doeh	75
16	o11c1i1	goei	75
16	o11c1i1	(aen	58
16	o11c1i1	(den	58
16	o11c1i1	(der	58
16	o11c1i1	dacr	58
16	o11c1i1	Öaer	58
16	o11c1i1	óock	58
16	o11c1i1	ooek	50
16	o11c1i1	dpch	34
16	o11c1i1	obck	34
16	o11c1i1	g^en	16
15	i1	1	0
15	i1	B	0
15	i1	D	0
15	i1	F	0
15	i1	I	0
15	i1	J	0
15	i1	L	0
15	i1	R	0
15	i1	T	0
15	i1	j	0
15	i1	k	0
15	i1	|	0
15	i1	«	0
15	i1	Ë	0
15	i1	ï	0
15	o1	#	0
15	o1	&	0
15	o1	(	0
15	o1	)	0
15	o1	0	0
15	o1	6	0
15	o1	9	0
15	o1	>	0
15	o1	^	0
15	o1	b	0
15	o1	g	0
15	o1	o	0
15	o1	q	0
15	o1	}	0
15	o1	ö	0
15	o111i1	daar	75
15	o111i1	dogh	75
15	o111i1	dooi	75
15	o111i1	dool	75
15	o111i1	gaat	75
15	o111i1	padi	75
15	o111i1	(dat	58
15	o111i1	(opt	58
15	o111i1	^oor	58
15	o111i1	bbar	58
15	o111i1	doof	58
15	o111i1	dodi	50
15	o111i1	gaan	50
15	o111i1	dpor	34
15	o111i1	oook	34
14	i11c1i1	Hier	75
14	i11c1i1	Nieu	75
14	i11c1i1	Tiel	75
14	i11c1i1	fier	75
14	i11c1i1	lief	75
14	i11c1i1	riet	75
14	i11c1i1	tier	75
14	i11c1i1	uiet	75
14	i11c1i1	Ijen	58
14	i11c1i1	Jiet	58
14	i11c1i1	inet	50
14	i11c1i1	|net	34
14	i11c1i1	nièt	16
14	i11c1i1	tüét	0
13	a1i11v2o11i11	Aniwoort	92
13	a1i11v2o11i11	Antwoorl	92
13	a1i11v2o11i11	Aniwoorl	84
13	a1i11v2o11i11	Anlwoort	84
13	a1i11v2o11i11	Antwoart	84
13	a1i11v2o11i11	AntwoorL	84
13	a1i11v2o11i11	AniwoorL	76
13	a1i11v2o11i11	AniwoarL	60
13	a1i11v2o11i11	AtUwoort	60
13	a1i11v2o11i11	Anlwodrl	58
13	a1i11v2o11i11	ArUwoorl	52
13	a1i11v2o11i11	AnIwoorL	45
13	a1i11v2o11i11	AfUwoart	37
13	i1o111	Jago	75
13	i1o111	Lada	75
13	i1o111	Tobo	75
13	i1o111	rood	75
13	i1o111	tapa	75
13	i1o111	Hoog	58
13	i1o111	hoog	58
13	i1o111	Jaba	50
13	i1o111	Podo	50
13	i1o111	kopQ	34
13	i1o111	1000	0
13	i1o111	1600	0
13	i1o111	lOOO	0
13	i1o1i1o1	Dalo	75
13	i1o1i1o1	Jala	75
13	i1o1i1o1	Jara	75
13	i1o1i1o1	Rata	75
13	i1o1i1o1	hona	75
13	i1o1i1o1	jang	75
13	i1o1i1o1	rato	75
13	i1o1i1o1	Tonp	58
13	i1o1i1o1	Nota	50
13	i1o1i1o1	Raia	50
13	i1o1i1o1	rata	50
13	i1o1i1o1	Equo	16
13	i1o1i1o1	ToUa	16
13	o1i1o1c1i1	angel	84
13	o1i1o1c1i1	arack	84
13	o1i1o1c1i1	atael	84
13	o1i1o1c1i1	bibel	84
13	o1i1o1c1i1	bloei	84
13	o1i1o1c1i1	oiaer	84
13	o1i1o1c1i1	ondei	84
13	o1i1o1c1i1	(naer	71
13	o1i1o1c1i1	(noch	71
13	o1i1o1c1i1	ónder	71
13	o1i1o1c1i1	aUaer	54
13	o1i1o1c1i1	andcr	54
13	o1i1o1c1i1	(«der	42
12	c1i1o1c1	enge	75
12	c1i1o1c1	ehde	58
12	c1i1o1c1	endc	58
12	c1i1o1c1	endè	58
12	c1i1o1c1	endé	58
12	c1i1o1c1	eude	58
12	c1i1o1c1	ènde	58
12	c1i1o1c1	éhde	58
12	c1i1o1c1	énde	58
12	c1i1o1c1	€nde	58
12	c1i1o1c1	Cube	34
12	c1i1o1c1	en^e	16
12	i11o1c1i1	inaer	84
12	i11o1c1i1	knden	84
12	i11o1c1i1	liber	84
12	i11o1c1i1	niaer	84
12	i11o1c1i1	thael	84
12	i11o1c1i1	Jiaer	71
12	i11o1c1i1	iiaer	71
12	i11o1c1i1	Libet	66
12	i11o1c1i1	lioch	66
12	i11o1c1i1	iioch	54
12	i11o1c1i1	rÉach	42
12	i11o1c1i1	Bk)ck	12
12	i1o11c1i1	Baden	84
12	i1o11c1i1	Hagen	84
12	i1o11c1i1	Radeh	84
12	i1o11c1i1	Tobel	84
12	i1o11c1i1	lopen	84
12	i1o11c1i1	togen	84
12	i1o11c1i1	Hpack	71
12	i1o11c1i1	Ioock	71
12	i1o11c1i1	jdaer	71
12	i1o11c1i1	raaer	66
12	i1o11c1i1	j)ock	42
12	i1o11c1i1	n^aer	42
12	i1o1i1c1i1	Horen	84
12	i1o1i1c1i1	Jaren	84
12	i1o1i1c1i1	harer	84
12	i1o1i1c1i1	lalen	84
12	i1o1i1c1i1	toick	84
12	i1o1i1c1i1	Naick	66
12	i1o1i1c1i1	laleu	66
12	i1o1i1c1i1	noiet	66
12	i1o1i1c1i1	tafel	66
12	i1o1i1c1i1	r^len	42
12	i1o1i1c1i1	joDck	25
12	i1o1i1c1i1	toÜen	25
12	i1o1i1o1i1	Bauan	84
12	i1o1i1o1i1	Danau	84
12	i1o1i1o1i1	Jaran	84
12	i1o1i1o1i1	Jatou	84
12	i1o1i1o1i1	Lahor	84
12	i1o1i1o1i1	Noran	84
12	i1o1i1o1i1	hahar	84
12	i1o1i1o1i1	laugh	84
12	i1o1i1o1i1	Pangi	71
12	i1o1i1o1i1	Lahou	66
12	i1o1i1o1i1	l>har	42
12	i1o1i1o1i1	lan^t	42
12	o1i1o1	bia	50
12	o1i1o1	bra	50
12	o1i1o1	ora	50
12	o1i1o1	pha	50
12	o1i1o1	pho	50
12	o1i1o1	pra	50
12	o1i1o1	pro	50
12	o1i1o1	Oia	25
12	o1i1o1	Oja	25
12	o1i1o1	oud	25
12	o1i1o1	^«^	0
12	o1i1o1	oUa	0
11	i1111o1	Ditto	84
11	i1111o1	Hilta	84
11	i1111o1	Julio	84
11	i1111o1	Pinto	84
11	i1111o1	nilla	84
11	i1111o1	Linia	66
11	i1111o1	niira	66
11	i1111o1	HilIa	42
11	i1111o1	INtto	42
11	i1111o1	BENTO	12
11	i1111o1	PEDRO	0
11	i1o1c1	hoc	50
11	i1o1c1	koe	50
11	i1o1c1	lac	50
11	i1o1c1	loe	50
11	i1o1c1	nac	50
11	i1o1c1	rae	50
11	i1o1c1	hoé	25
11	i1o1c1	naé	25
11	i1o1c1	uae	25
11	i1o1c1	I)e	0
11	i1o1c1	l)e	0
11	i1o1i11c1i1	Banjer	88
11	i1o1i11c1i1	Barker	88
11	i1o1i11c1i1	Doulet	88
11	i1o1i11c1i1	Natiën	88
11	i1o1i11c1i1	fouten	88
11	i1o1i11c1i1	karren	88
11	i1o1i11c1i1	konnen	88
11	i1o1i11c1i1	kotten	88
11	i1o1i11c1i1	lonten	88
11	i1o1i11c1i1	totter	88
11	i1o1i11c1i1	hakken	75
10	i11o1	Rio	50
10	i11o1	ita	50
10	i11o1	tra	50
10	i11o1	Iha	25
10	i11o1	UEd	25
10	i11o1	huo	25
10	i11o1	lnd	25
10	i11o1	110	0
10	i11o1	116	0
10	i11o1	1B6	0
10	i1o1i11o1	Bouro	84
10	i1o1i11o1	Donna	84
10	i1o1i11o1	Hatip	84
10	i1o1i11o1	Louha	84
10	i1o1i11o1	Nalla	84
10	i1o1i11o1	Noula	84
10	i1o1i11o1	Rania	84
10	i1o1i11o1	Hatib	71
10	i1o1i11o1	Douta	66
10	i1o1i11o1	Boffo	54
10	o1i111c1i1	alhief	88
10	o1i111c1i1	alhiei	88
10	o1i111c1i1	bitter	88
10	o1i111c1i1	bunnen	88
10	o1i111c1i1	giflen	88
10	o1i111c1i1	giften	88
10	o1i111c1i1	putten	88
10	o1i111c1i1	Oukier	75
10	o1i111c1i1	bjnnen	55
10	o1i111c1i1	onïïer	20
9	i1c1	BC	0
9	i1c1	Dc	0
9	i1c1	IG	0
9	i1c1	Je	0
9	i1c1	Te	0
9	i1c1	Ue	0
9	i1c1	he	0
9	i1c1	re	0
9	i1c1	tè	0
9	i1o1c1i11	Hgelt	88
9	i1o1c1i11	jachl	88
9	i1o1c1i11	Lockj	84
9	i1o1c1i11	Poetj	84
9	i1o1c1i11	locht	84
9	i1o1c1i11	loeff	84
9	i1o1c1i11	naerl	84
9	i1o1c1i11	nocli	66
9	i1o1c1i11	Locki	54
9	i1o1i111	Patti	84
9	i1o1i111	hatil	84
9	i1o1i111	hoflf	84
9	i1o1i111	loflf	84
9	i1o1i111	Hgunt	71
9	i1o1i111	hoflF	71
9	i1o1i111	loffj	71
9	i1o1i111	haiff	66
9	i1o1i111	nohit	50
9	i1o1i11o1i1	Bouton	88
9	i1o1i11o1i1	Houlou	88
9	i1o1i11o1i1	Jolian	88
9	i1o1i11o1i1	Lonfor	88
9	i1o1i11o1i1	Louhou	88
9	i1o1i11o1i1	Toutou	88
9	i1o1i11o1i1	Lauiot	75
9	i1o1i11o1i1	BoutoD	65
9	i1o1i11o1i1	Janibi	65
9	i1v1	By	0
9	i1v1	Ex	0
9	i1v1	Hy	0
9	i1v1	IV	0
9	i1v1	Uy	0
9	i1v1	iV	0
9	i1v1	ly	0
9	i1v1	ry	0
9	i1v1	uy	0
9	o111c1i1	adaer	84
9	o111c1i1	agaet	84
9	o111c1i1	daden	84
9	o111c1i1	dader	84
9	o111c1i1	opden	84
9	o111c1i1	(daer	71
9	o111c1i1	(doch	71
9	o111c1i1	bbaer	71
9	o111c1i1	d^gen	42
9	o1i11c1i11	briefi	88
9	o1i11c1i11	brieif	88
9	o1i11c1i11	quietj	88
9	o1i11c1i11	briefT	78
9	o1i11c1i11	briefl	78
9	o1i11c1i11	brieiF	78
9	o1i11c1i11	brieiT	78
9	o1i11c1i11	brielT	78
9	o1i11c1i11	brietf	78
9	s1o1	50	0
9	s1o1	56	0
9	s1o1	59	0
9	s1o1	5p	0
9	s1o1	5Ó	0
9	s1o1	S6	0
9	s1o1	S9	0
9	s1o1	SO	0
9	s1o1	sp	0
8	c1o1i111	callj	84
8	c1o1i111	calti	84
8	c1o1i111	caltj	84
8	c1o1i111	catli	84
8	c1o1i111	catlj	84
8	c1o1i111	catti	84
8	c1o1i111	Galfl	71
8	c1o1i111	Gaiff	66
8	c1o1i11o1	Conip	84
8	c1o1i11o1	Gonip	84
8	c1o1i11o1	Gotta	84
8	c1o1i11o1	Cornp	71
8	c1o1i11o1	cornp	71
8	c1o1i11o1	ConJp	42
8	c1o1i11o1	Con]p	42
8	c1o1i11o1	Coihp	25
8	i1c1o1c1i1	Pedel	84
8	i1c1o1c1i1	Reden	84
8	i1c1o1c1i1	heden	84
8	i1c1o1c1i1	leder	84
8	i1c1o1c1i1	lepel	84
8	i1c1o1c1i1	reacl	71
8	i1c1o1c1i1	i*^el	12
8	i1c1o1c1i1	ré&el	12
8	i3o1i1	Man	50
8	i3o1i1	Mon	50
8	i3o1i1	mar	50
8	i3o1i1	mat	50
8	i3o1i1	mol	50
8	i3o1i1	mot	50
8	i3o1i1	Maj	25
8	i3o1i1	m^t	0
8	o1111	dagb	58
8	o1111	adap	50
8	o1111	da(o	16
8	o1111	6000	0
8	o1111	6009	0
8	o1111	9000	0
8	o1111	9060	0
8	o1111	^^^^	0
8	o1c1o1	aea	50
8	o1c1o1	aed	50
8	o1c1o1	aeo	50
8	o1c1o1	deo	50
8	o1c1o1	ged	50
8	o1c1o1	deq	25
8	o1c1o1	(*)	0
8	o1c1o1	(?)	0
8	o1i111o1i1	billon	88
8	o1i111o1i1	atthal	75
8	o1i111o1i1	giljon	75
8	o1i111o1i1	giljou	75
8	o1i111o1i1	giUion	52
8	o1i111o1i1	gilHon	42
8	o1i111o1i1	gilKon	42
8	o1i111o1i1	ojKlat	32
8	o1i11o1	anno	75
8	o1i11o1	olla	75
8	o1i11o1	phia	75
8	o1i11o1	oftó	58
8	o1i11o1	diio	50
8	o1i11o1	dilo	50
8	o1i11o1	diUo	16
8	o1i11o1	dülo	16
8	o1i1c1i1	aten	75
8	o1i1c1i1	duel	75
8	o1i1c1i1	oren	75
8	o1i1c1i1	(ten	58
8	o1i1c1i1	bten	58
8	o1i1c1i1	duer	50
8	o1i1c1i1	(het	34
8	o1i1c1i1	^Den	16
8	s1i1o1c1i1	slaef	84
8	s1i1o1c1i1	slaeh	84
8	s1i1o1c1i1	slaeu	84
8	s1i1o1c1i1	slacn	71
8	s1i1o1c1i1	Sibet	66
8	s1i1o1c1i1	Sfaen	54
8	s1i1o1c1i1	staét	42
8	s1i1o1c1i1	st^ck	25
8	v1o1i1	vai	50
8	v1o1i1	vat	50
8	v1o1i1	vau	50
8	v1o1i1	vaü	25
8	v1o1i1	yan	25
8	v1o1i1	v^n	0
8	v1o1i1	v^r	0
8	v1o1i1	vdn	0
8	v1o1i11	vanl	84
8	v1o1i11	vari	75
8	v1o1i11	vati	75
8	v1o1i11	vaut	75
8	v1o1i11	valU	58
8	v1o1i11	vaii	50
8	v1o1i11	vokk	34
8	v1o1i11	v^nt	16
7	c11i1	eet	50
7	c11i1	eeu	50
7	c11i1	eén	25
7	c11i1	èen	25
7	c11i1	éen	25
7	c11i1	ccn	0
7	c11i1	eéh	0
7	c1i1	*T	0
7	c1i1	*i	0
7	c1i1	*l	0
7	c1i1	*t	0
7	c1i1	cf	0
7	c1i1	ci	0
7	c1i1	er	0
7	c1o11c1	eode	75
7	c1o11c1	Godc	58
7	c1o11c1	eade	58
7	c1o11c1	epde	58
7	c1o11c1	ebde	50
7	c1o11c1	eqde	16
7	c1o11c1	eöde	16
7	i1111c1i1	Butter	88
7	i1111c1i1	Hutten	88
7	i1111c1i1	Putten	88
7	i1111c1i1	Ruiten	88
7	i1111c1i1	hutten	88
7	i1111c1i1	«uilen	78
7	i1111c1i1	Èinnen	78
7	i11o11	Dipa	50
7	i11o11	Hugo	50
7	i11o11	Ingd	50
7	i11o11	Juda	50
7	i11o11	Jhda	34
7	i11o11	1100	0
7	i11o11	IBOO	0
7	i1c1i11c1i1	Pellen	88
7	i1c1i11c1i1	Pelten	88
7	i1c1i11c1i1	kennet	88
7	i1c1i11c1i1	nelten	88
7	i1c1i11c1i1	netten	88
7	i1c1i11c1i1	tellen	88
7	i1c1i11c1i1	Echter	78
7	i1o11i11	Laaut	84
7	i1o11i11	jadit	84
7	i1o11i11	laout	84
7	i1o11i11	roofl	71
7	i1o11i11	habil	66
7	i1o11i11	raont	66
7	i1o11i11	Dabul	50
7	i1o1c1i1c1	Hgene	88
7	i1o1c1i1c1	Jaere	84
7	i1o1c1i1c1	Poete	84
7	i1o1c1i1c1	Edele	71
7	i1o1c1i1c1	Ipere	71
7	i1o1c1i1c1	hacrc	71
7	i1o1c1i1c1	foeUe	54
7	i1o1c1i1c1i1	laeleu	88
7	i1o1c1i1c1i1	locken	88
7	i1o1c1i1c1i1	taefel	88
7	i1o1c1i1c1i1	Edelen	78
7	i1o1c1i1c1i1	koeien	75
7	i1o1c1i1c1i1	naehet	75
7	i1o1c1i1c1i1	l)eter	55
7	i1o1i111o1	Doutta	88
7	i1o1i111o1	Hartio	88
7	i1o1i111o1	Narita	88
7	i1o1i111o1	Pottra	88
7	i1o1i111o1	Portug	78
7	i1o1i111o1	Laftla	62
7	i1o1i111o1	Poiira	62
7	i1o1i11c1	Foute	84
7	i1o1i11c1	Poule	84
7	i1o1i11c1	faule	84
7	i1o1i11c1	folie	84
7	i1o1i11c1	holle	84
7	i1o1i11c1	nalie	84
7	i1o1i11c1	tarue	84
7	i1o1v1	Day	50
7	i1o1v1	Hay	50
7	i1o1v1	Kay	50
7	i1o1v1	Ray	50
7	i1o1v1	koy	50
7	i1o1v1	ray	50
7	i1o1v1	tax	25
7	i1o1v1o1	Bava	75
7	i1o1v1o1	Baya	75
7	i1o1v1o1	Haya	75
7	i1o1v1o1	Jaya	75
7	i1o1v1o1	Nova	75
7	i1o1v1o1	Payo	75
7	i1o1v1o1	novo	75
7	o11i11c1i1	baltet	88
7	o11i11c1i1	dattet	88
7	o11i11c1i1	pollen	88
7	o11i11c1i1	polten	88
7	o11i11c1i1	(allen	78
7	o11i11c1i1	öonnen	78
7	o11i11c1i1	daiter	75
7	o11i1o1c1i1	darden	88
7	o11i1o1c1i1	golden	88
7	o11i1o1c1i1	golock	88
7	o11i1o1c1i1	ponden	88
7	o11i1o1c1i1	(onder	78
7	o11i1o1c1i1	(Onder	55
7	o11i1o1c1i1	^^nden	55
7	o1c11o1i3c1i1	gecomeu	90
7	o1c11o1i3c1i1	gccomen	82
7	o1c11o1i3c1i1	beeomen	80
7	o1c11o1i3c1i1	bécomen	64
7	o1c11o1i3c1i1	gecpmen	62
7	o1c11o1i3c1i1	becómen	54
7	o1c11o1i3c1i1	gecómen	54
7	o1c1i1s1c1i1v1c1i1	denselveu	93
7	o1c1i1s1c1i1v1c1i1	denselveü	87
7	o1c1i1s1c1i1v1c1i1	denseiven	86
7	o1c1i1s1c1i1v1c1i1	derseiver	86
7	o1c1i1s1c1i1v1c1i1	dcrselver	80
7	o1c1i1s1c1i1v1c1i1	dënselven	80
7	o1c1i1s1c1i1v1c1i1	derselvcr	73
7	o1i111	aflf	75
7	o1i111	arri	75
7	o1i111	oflf	75
7	o1i111	phit	75
7	o1i111	anil	50
7	o1i111	(hun	34
7	o1i111	pnnt	34
7	o1i111o1	dillo	84
7	o1i111o1	ditio	84
7	o1i111o1	ditlo	84
7	o1i111o1	gutta	84
7	o1i111o1	anila	66
7	o1i111o1	dilto	66
7	o1i111o1	(Ulto	25
7	o1i1c1	ate	50
7	o1i1c1	ole	50
7	o1i1c1	(te	25
