#words	ocr-kkey	word	legality
26	i1o1c1i1	Back	100
26	i1o1c1i1	Baer	100
26	i1o1c1i1	Daer	100
26	i1o1c1i1	Haen	100
26	i1o1c1i1	Haer	100
26	i1o1c1i1	Naer	100
26	i1o1c1i1	Raet	100
26	i1o1c1i1	Roch	100
26	i1o1c1i1	haer	100
26	i1o1c1i1	haet	100
26	i1o1c1i1	hoen	100
26	i1o1c1i1	jach	100
26	i1o1c1i1	jaer	100
26	i1o1c1i1	lach	100
26	i1o1c1i1	lack	100
26	i1o1c1i1	lael	100
26	i1o1c1i1	laet	100
26	i1o1c1i1	naer	100
26	i1o1c1i1	naet	100
26	i1o1c1i1	noch	100
26	i1o1c1i1	noen	100
26	i1o1c1i1	raer	100
26	i1o1c1i1	raet	100
26	i1o1c1i1	rock	100
26	i1o1c1i1	roer	100
26	i1o1c1i1	roet	100
26	i1o1i1o1c1i1	Hanack	100
26	i1o1i1o1c1i1	Handen	100
26	i1o1i1o1c1i1	Landen	100
26	i1o1i1o1c1i1	Londen	100
26	i1o1i1o1c1i1	Randen	100
26	i1o1i1o1c1i1	Tolgen	100
26	i1o1i1o1c1i1	Tougen	100
26	i1o1i1o1c1i1	handel	100
26	i1o1i1o1c1i1	handen	100
26	i1o1i1o1c1i1	hangen	100
26	i1o1i1o1c1i1	harden	100
26	i1o1i1o1c1i1	harder	100
26	i1o1i1o1c1i1	honden	100
26	i1o1i1o1c1i1	honger	100
26	i1o1i1o1c1i1	houden	100
26	i1o1i1o1c1i1	jongen	100
26	i1o1i1o1c1i1	jonger	100
26	i1o1i1o1c1i1	kander	100
26	i1o1i1o1c1i1	landen	100
26	i1o1i1o1c1i1	langen	100
26	i1o1i1o1c1i1	langer	100
26	i1o1i1o1c1i1	lauden	100
26	i1o1i1o1c1i1	randen	100
26	i1o1i1o1c1i1	ronden	100
26	i1o1i1o1c1i1	tanden	100
26	i1o1i1o1c1i1	tangen	100
22	o11c1i1	bael	100
22	o11c1i1	baer	100
22	o11c1i1	bock	100
22	o11c1i1	boet	100
22	o11c1i1	dach	100
22	o11c1i1	dack	100
22	o11c1i1	daen	100
22	o11c1i1	daer	100
22	o11c1i1	daet	100
22	o11c1i1	doch	100
22	o11c1i1	doel	100
22	o11c1i1	doen	100
22	o11c1i1	doet	100
22	o11c1i1	gaen	100
22	o11c1i1	gaet	100
22	o11c1i1	goet	100
22	o11c1i1	ooch	100
22	o11c1i1	oock	100
22	o11c1i1	open	100
22	o11c1i1	pack	100
22	o11c1i1	paer	100
22	o11c1i1	poel	100
21	i1o1i1o1i1	Batou	100
21	i1o1i1o1i1	Bouan	100
21	i1o1i1o1i1	Darou	100
21	i1o1i1o1i1	Halou	100
21	i1o1i1o1i1	Hatou	100
21	i1o1i1o1i1	Iquan	100
21	i1o1i1o1i1	Jangh	100
21	i1o1i1o1i1	Johan	100
21	i1o1i1o1i1	Johor	100
21	i1o1i1o1i1	Latou	100
21	i1o1i1o1i1	Pahan	100
21	i1o1i1o1i1	Tolou	100
21	i1o1i1o1i1	handt	100
21	i1o1i1o1i1	hardt	100
21	i1o1i1o1i1	houdt	100
21	i1o1i1o1i1	landt	100
21	i1o1i1o1i1	langh	100
21	i1o1i1o1i1	rangh	100
21	i1o1i1o1i1	rondt	100
21	i1o1i1o1i1	tangh	100
21	i1o1i1o1i1	tongh	100
19	i1o11c1i1	Jager	100
19	i1o11c1i1	Japen	100
19	i1o11c1i1	Raden	100
19	i1o11c1i1	hogen	100
19	i1o11c1i1	hoger	100
19	i1o11c1i1	hooch	100
19	i1o11c1i1	jagen	100
19	i1o11c1i1	laden	100
19	i1o11c1i1	lagen	100
19	i1o11c1i1	lager	100
19	i1o11c1i1	logen	100
19	i1o11c1i1	loock	100
19	i1o11c1i1	naden	100
19	i1o11c1i1	nader	100
19	i1o11c1i1	nagel	100
19	i1o11c1i1	noden	100
19	i1o11c1i1	raden	100
19	i1o11c1i1	rapen	100
19	i1o11c1i1	roock	100
19	i1o1i11	Balj	100
19	i1o1i11	Hart	100
19	i1o1i11	John	100
19	i1o1i11	Laut	100
19	i1o1i11	fort	100
19	i1o1i11	hant	100
19	i1o1i11	hart	100
19	i1o1i11	hoff	100
19	i1o1i11	hout	100
19	i1o1i11	kant	100
19	i1o1i11	lant	100
19	i1o1i11	laut	100
19	i1o1i11	loff	100
19	i1o1i11	nath	100
19	i1o1i11	rolt	100
19	i1o1i11	ront	100
19	i1o1i11	tail	100
19	i1o1i11	tant	100
19	i1o1i11	tour	100
18	i1c11i1	Deen	100
18	i1c11i1	Heer	100
18	i1c11i1	Leek	100
18	i1c11i1	heek	100
18	i1c11i1	heel	100
18	i1c11i1	heen	100
18	i1c11i1	heer	100
18	i1c11i1	heet	100
18	i1c11i1	keel	100
18	i1c11i1	keer	100
18	i1c11i1	leek	100
18	i1c11i1	leen	100
18	i1c11i1	leer	100
18	i1c11i1	leet	100
18	i1c11i1	neen	100
18	i1c11i1	reek	100
18	i1c11i1	reet	100
18	i1c11i1	teer	100
18	o1i1o1c1i1	Onder	100
18	o1i1o1c1i1	Ouder	100
18	o1i1o1c1i1	alder	100
18	o1i1o1c1i1	ander	100
18	o1i1o1c1i1	auder	100
18	o1i1o1c1i1	bhaer	100
18	o1i1o1c1i1	block	100
18	o1i1o1c1i1	bloet	100
18	o1i1o1c1i1	diaer	100
18	o1i1o1c1i1	draet	100
18	o1i1o1c1i1	graet	100
18	o1i1o1c1i1	groen	100
18	o1i1o1c1i1	onder	100
18	o1i1o1c1i1	ouden	100
18	o1i1o1c1i1	ouder	100
18	o1i1o1c1i1	plach	100
18	o1i1o1c1i1	plaet	100
18	o1i1o1c1i1	quaet	100
17	i1o1i1c1i1	Baren	100
17	i1o1i1c1i1	halen	100
17	i1o1i1c1i1	hanen	100
17	i1o1i1c1i1	haren	100
17	i1o1i1c1i1	houck	100
17	i1o1i1c1i1	jaren	100
17	i1o1i1c1i1	jonck	100
17	i1o1i1c1i1	jonek	100
17	i1o1i1c1i1	laken	100
17	i1o1i1c1i1	lanck	100
17	i1o1i1c1i1	laten	100
17	i1o1i1c1i1	later	100
17	i1o1i1c1i1	noten	100
17	i1o1i1c1i1	ranck	100
17	i1o1i1c1i1	tanck	100
17	i1o1i1c1i1	tolck	100
17	i1o1i1c1i1	tonen	100
14	c1o1i1o1c1i1	Candel	100
14	c1o1i1o1c1i1	Colock	100
14	c1o1i1o1c1i1	Gandel	100
14	c1o1i1o1c1i1	Garden	100
14	c1o1i1o1c1i1	canael	100
14	c1o1i1o1c1i1	carael	100
14	c1o1i1o1c1i1	caraet	100
14	c1o1i1o1c1i1	catoen	100
14	c1o1i1o1c1i1	conden	100
14	c1o1i1o1c1i1	condet	100
14	c1o1i1o1c1i1	corael	100
14	c1o1i1o1c1i1	coraen	100
14	c1o1i1o1c1i1	coroen	100
14	c1o1i1o1c1i1	couden	100
14	i1	E	100
14	i1	H	100
14	i1	K	100
14	i1	N	100
14	i1	P	100
14	i1	U	100
14	i1	f	100
14	i1	h	100
14	i1	i	100
14	i1	l	100
14	i1	r	100
14	i1	t	100
14	i1	u	100
14	i1	ü	100
14	i1o1i1o1	Bala	100
14	i1o1i1o1	Dato	100
14	i1o1i1o1	Jang	100
14	i1o1i1o1	Lato	100
14	i1o1i1o1	Nara	100
14	i1o1i1o1	Rato	100
14	i1o1i1o1	Toua	100
14	i1o1i1o1	hand	100
14	i1o1i1o1	hard	100
14	i1o1i1o1	land	100
14	i1o1i1o1	lang	100
14	i1o1i1o1	rond	100
14	i1o1i1o1	tand	100
14	i1o1i1o1	toua	100
14	o11c1i1c1i1	baelen	100
14	o11c1i1c1i1	baeren	100
14	o11c1i1c1i1	boeken	100
14	o11c1i1c1i1	boeren	100
14	o11c1i1c1i1	boeten	100
14	o11c1i1c1i1	dacken	100
14	o11c1i1c1i1	daelen	100
14	o11c1i1c1i1	daeren	100
14	o11c1i1c1i1	doeken	100
14	o11c1i1c1i1	gaeren	100
14	o11c1i1c1i1	openen	100
14	o11c1i1c1i1	packen	100
14	o11c1i1c1i1	packeu	100
14	o11c1i1c1i1	poelen	100
14	o11i11c1i1	balien	100
14	o11i11c1i1	bannen	100
14	o11i11c1i1	barten	100
14	o11i11c1i1	batick	100
14	o11i11c1i1	bollen	100
14	o11i11c1i1	botter	100
