gram	frequency
nde┤	10642
├end	7876
├van┤	6737
├den┤	6546
aer┤	6295
den┤	5432
nde	5041
├met┤	3920
gen┤	3671
├voo	3431
ren┤	3148
├een┤	3082
ere	2991
├dae	2959
der	2958
├ver	2928
cht┤	2885
ede	2877
eer	2841
oor┤	2745
ert┤	2617
├dat┤	2582
oor	2538
and	2507
der┤	2350
lyc	2338
├aen┤	2299
ing	2207
len┤	2204
men┤	2113
sch	2102
cke	2092
├ges	2006
ege	2001
├gel	1979
ang	1934
ven┤	1933
ese	1911
eed	1897
├sch	1887
ant┤	1873
├nie	1839
├syn┤	1821
sen┤	1817
aer	1787
├als┤	1784
yck┤	1783
iet┤	1779
ach	1756
ely	1745
nge	1731
ten┤	1648
ers┤	1648
eck	1641
ome	1609
nen┤	1580
ent┤	1572
├ver┤	1563
├was┤	1558
oud	1530
├con	1521
├nae┤	1516
che	1505
ede┤	1490
ert	1459
ens┤	1441
ver	1440
├sel	1437
ers	1391
elv	1384
end	1383
ade	1377
ond	1373
├mae	1372
ngh┤	1371
ken┤	1369
├soo┤	1361
eve	1360
eer┤	1355
├die┤	1344
├het┤	1316
├tot┤	1309
├com	1308
aen┤	1307
ste	1281
eni	1270
├een	1242
och┤	1227
eme	1215
├mee	1207
├wae	1203
├der┤	1199
├had┤	1195
lle	1184
nig	1172
eco	1169
nne	1168
ien┤	1160
├uyt┤	1144
ale	1113
pen┤	1107
lve┤	1105
ver┤	1084
nin	1083
lee	1075
├and	1075
ude┤	1064
ren	1063
ant	1052
├ove	1048
ere┤	1037
eyt┤	1025
gen	1018
├nae	1012
├sou	1012
rde	1011
nck┤	1005
oni	998
cht	992
ele	989
ela	988
cke┤	984
ene	981
ont	979
ige┤	978
are	972
tre	968
inc	967
erl	959
ock┤	956
erc	955
roo	948
est	940
├doo	932
aec	931
com	930
yck	930
├gem	929
├ben┤	917
├lan	913
erd	912
├wer	911
nge┤	910
ees	910
erd┤	902
era	901
ord	889
lan	887
hey	883
├gev	882
ree	878
├heb┤	878
├ond	866
chi	852
├all	850
├van	835
tee	832
ate	831
├cle	830
och	824
eck┤	823
ich┤	821
oen┤	816
est┤	809
age	804
eel┤	800
nse┤	796
├gew	791
rec	783
ter	782
mel	779
ynd	777
├ooc	776
ort	775
man	774
ier	772
├sta	771
├had	770
├syn	768
├die	760
├gee	759
├gro	753
├gec	751
├mit	751
eur┤	749
rne	744
add	744
├war	744
├vol	742
tae	741
├man┤	740
een┤	735
├Con	734
tie┤	734
├gen	724
lle┤	722
├rea	720
rae	718
dde┤	713
nti	712
ent	711
ern	706
rac	704
ppe	702
tel	701
ich	699
eal	696
├des	695
eso	694
├goe	691
ael┤	685
├geb	685
ass	685
chr	684
├ons	682
oot	679
ier┤	678
nta	677
oop	676
├ont	676
├ten┤	669
tan	667
esc	664
├ger	661
oed	659
omp┤	657
ckt┤	657
├sul	652
fte┤	651
omm	651
ran	649
├hun┤	647
├wel┤	642
art	641
elt┤	640
├doe	636
yde	632
rtr	632
├noc	630
epe	628
ste┤	628
cha	624
ley	623
uve	618
rin	618
├ged	617
ouv	616
ors	614
├oft	611
eec	608
nee	608
├coo	606
lae	603
lve	592
rsc	591
iss	578
├toe┤	575
├Com	573
ngh	573
├hee	573
ewe	573
ors┤	572
neu	572
elt	572
eri	570
oot┤	570
gel	566
ude	562
ech	562
elc	559
├bes	559
son	558
ast┤	553
nck	549
oer	549
wae	548
aet┤	546
del	546
eyn	545
uyt┤	544
ter┤	542
├vee	542
apa	533
onn	532
lte┤	531
├wel	530
├wee	529
gad	528
